# {"t_start": 1561570588.708221, "env_id": "Humanoid-v2"} 
r,l,t
61.621775,13,19.900835
66.366331,14,19.935273
75.896539,16,19.977079
75.914414,16,20.019507
86.221314,19,20.073888
96.673227,19,20.121169
70.695632,15,20.158233
61.562401,13,20.188796
85.461524,18,20.235819
66.258872,14,20.269986
66.455484,14,20.305585
70.857095,15,20.342774
66.105162,14,20.377363
70.807995,15,20.416763
121.189943,26,20.483127
70.975163,15,20.521152
75.405858,16,20.560705
177.535822,35,20.655854
75.619179,16,20.699733
71.042552,15,20.743146
71.096365,15,20.781291
128.54636,27,20.852475
91.241412,21,20.906068
61.453523,13,20.938711
76.444976,16,20.979955
149.612625,29,21.484686
132.031192,28,21.556661
66.528347,14,21.5916
80.466737,17,21.633961
75.382691,16,21.673618
70.953015,15,21.711563
56.866326,12,21.741462
65.933655,14,21.776673
66.302064,14,21.810819
75.798146,16,21.8495
77.07384,16,21.889128
94.296152,19,21.937924
154.584832,31,22.016934
70.89837,15,22.054762
293.358433,56,22.199677
252.888026,54,22.342251
66.384037,14,22.377297
192.925458,38,22.473239
66.272494,14,22.508042
88.266897,19,22.55516
75.756754,16,22.594934
209.697522,37,22.696906
61.636482,13,22.734145
158.778133,31,22.82589
61.421548,13,22.861847
66.245711,14,22.896821
66.17969,14,22.936081
66.027249,14,22.970879
75.634664,16,23.015753
66.374957,14,23.05433
181.591602,40,23.162095
56.751166,12,23.195659
70.746447,15,23.237101
75.450234,16,23.279425
76.002815,16,23.320195
106.388292,23,23.395034
70.884481,15,23.432729
122.168099,26,23.503859
80.501404,17,23.546083
111.066277,22,23.600342
258.368123,50,23.73719
66.265498,14,23.778936
175.960822,37,23.892773
136.686571,27,23.972477
169.329566,32,24.060676
99.805239,20,24.551438
75.79131,16,24.590307
71.353513,15,24.629962
75.721377,16,24.66978
311.397545,59,24.841184
205.457954,42,24.95563
93.824447,19,25.00772
75.580733,16,25.050233
173.712632,35,25.145861
75.779442,16,25.187493
76.351585,16,25.229568
71.123863,15,25.268265
80.667749,17,25.311885
82.262133,17,25.358273
275.359892,52,25.513744
143.795799,28,25.59033
75.678649,16,25.63211
154.302528,36,25.732968
110.000723,23,25.790662
169.146637,40,25.907267
148.4248,28,25.980531
76.56301,16,26.019951
258.033867,50,26.170802
69.470474,15,26.212778
176.861118,35,26.307851
66.197363,14,26.344423
75.557122,16,26.385682
66.293714,14,26.423165
133.293976,31,26.509427
71.161304,15,26.546571
253.620558,49,26.680752
334.168676,78,26.889793
128.653999,26,26.958495
207.530817,39,27.06561
75.839273,16,27.106451
66.179113,14,27.141455
218.949053,41,27.67985
66.254967,14,27.721368
131.080113,29,27.815992
80.42099,17,27.858031
71.002498,15,27.896604
66.447216,14,27.931613
77.729031,16,27.972679
139.659254,26,28.038589
75.547364,16,28.078506
75.527735,16,28.117782
90.277841,19,28.16152
61.472971,13,28.190266
111.030016,23,28.246353
95.876642,19,28.291953
132.815161,25,28.358452
70.996571,15,28.395012
221.453293,42,28.503059
70.839628,15,28.5397
118.740489,24,28.604816
70.967964,15,28.64963
66.335175,14,28.688852
70.981315,15,28.727538
98.88618,23,28.78689
92.779162,19,28.836065
80.43054,17,28.884346
80.998269,17,28.926373
118.401931,26,28.997248
102.122702,22,29.056298
255.2376,57,29.222872
75.937952,16,29.262706
66.230856,14,29.297188
104.666673,23,29.356497
75.480156,16,29.395352
147.906512,31,29.476657
104.479428,21,29.532065
66.319834,14,29.56816
128.624828,26,29.640148
71.115683,15,29.678961
75.689016,16,29.719769
166.95795,33,29.80943
77.381037,17,29.855363
66.104465,14,29.891958
66.172412,14,29.928509
66.390977,14,29.965668
70.95341,15,30.003651
61.534544,13,30.035647
71.127509,15,30.07351
98.622475,20,30.123854
140.444756,28,30.198064
82.337751,17,30.242675
71.082883,15,30.282286
130.046705,26,30.789964
110.572056,23,30.855119
56.904025,12,30.887717
75.553612,16,30.93019
81.962069,17,30.976708
75.728871,16,31.019633
75.845583,16,31.063641
200.226803,38,31.171411
110.867798,24,31.238979
80.600842,17,31.283685
66.241963,14,31.321288
71.176589,15,31.361176
333.5297,64,31.545543
70.853637,15,31.585502
83.048839,19,31.638043
89.590513,18,31.679988
265.002103,57,31.829146
86.885252,18,31.873699
80.192993,17,31.916304
90.311303,19,31.970121
75.577101,16,32.010925
105.375095,21,32.06059
144.896272,34,32.144952
66.183073,14,32.182201
80.535194,18,32.230438
234.106256,45,32.366364
70.285629,15,32.405989
61.447266,13,32.440634
137.505729,27,32.514069
123.269184,28,32.587605
75.562476,16,32.629397
99.362315,20,32.682971
66.097735,14,32.719176
71.046067,15,32.756631
75.710479,16,32.79744
144.098559,34,32.886999
81.842888,17,32.929668
255.647803,55,33.075016
70.982172,15,33.111899
232.963391,50,33.245718
66.047897,14,33.280531
76.828428,17,33.323196
88.67879,18,33.375226
100.400936,22,33.849548
71.091633,15,33.896275
105.075116,23,33.957761
75.605136,16,33.995956
87.254336,18,34.040189
104.140469,21,34.094673
66.248263,14,34.129462
211.843937,46,34.261697
75.89123,16,34.301248
101.603157,21,34.354021
169.881854,35,34.444437
157.95398,30,34.522827
166.373474,35,34.607485
236.598076,56,34.763786
66.258664,14,34.799222
75.603383,16,34.84041
315.871491,62,35.014194
80.697364,17,35.057544
66.088413,14,35.094375
303.316108,70,35.301791
310.295211,59,35.465943
71.11812,15,35.502168
66.191247,14,35.536304
145.847948,28,35.606874
75.596303,16,35.645732
157.228529,37,35.736854
268.869334,55,35.885217
61.548658,13,35.916625
188.698961,38,36.015306
66.103345,14,36.050161
70.945521,15,36.088512
123.530721,25,36.153403
212.91655,44,36.278326
61.740935,13,36.312224
66.340215,14,36.347436
61.586776,13,36.383124
161.727698,33,36.469457
515.237562,105,37.21741
251.373403,61,37.383174
352.460727,69,37.575056
70.914735,15,37.61103
89.710477,19,37.662493
70.977149,15,37.700587
66.09934,14,37.73668
70.998188,15,37.775764
102.158932,20,37.829981
95.548531,20,37.883291
75.829674,16,37.928656
252.983914,56,38.083961
124.282642,27,38.15649
86.38608,19,38.207773
75.648262,16,38.249655
119.964452,23,38.308354
61.407997,13,38.341077
325.514984,70,38.545997
92.72763,20,38.596086
71.026295,15,38.634464
253.698831,48,38.760885
66.139556,14,38.795747
86.070867,18,38.842166
61.796812,13,38.874773
118.131502,23,38.935268
188.600154,43,39.054099
137.813096,30,39.130711
217.256722,44,39.263179
246.479373,48,39.403345
149.679054,32,39.494383
140.064469,27,39.568064
66.154798,14,39.604639
266.423384,55,40.172756
75.83041,16,40.213489
84.220873,17,40.258134
75.795324,16,40.300197
224.865194,49,40.438922
75.645473,16,40.481467
113.31956,25,40.548888
112.051627,23,40.617633
141.344073,27,40.692773
66.234733,14,40.729748
80.574018,17,40.775476
78.01501,18,40.826608
75.711671,16,40.872638
91.309543,20,40.927104
261.088451,50,41.061423
82.658477,17,41.107834
170.930934,36,41.204957
66.384573,14,41.240864
84.543457,17,41.285397
61.453598,13,41.31764
123.932757,25,41.382747
75.906506,16,41.423925
66.438461,14,41.463393
