# {"t_start": 1562302087.3181984, "env_id": "ReacherBL-v2"} 
r,l,t
-16.850861,50,173.887533
-12.399161,50,174.678634
-8.877798,50,175.457429
-18.977447,50,176.226494
-8.725296,50,177.003441
-15.388132,50,177.780882
-35.812343,50,178.565599
-14.73407,50,179.347618
-8.619831,50,180.137805
-7.187674,50,180.910078
-11.05246,50,181.672672
-21.915948,50,182.467662
-9.900281,50,183.251771
-9.609856,50,184.018056
-7.581125,50,184.791005
-8.008,50,185.582409
-11.405631,50,186.41575
-18.293116,50,187.201194
-10.467004,50,188.057429
-8.821176,50,188.813874
-11.830105,50,189.599728
-11.679706,50,190.38495
-10.573233,50,191.179799
-14.584756,50,191.967463
-8.254503,50,192.769783
-15.905734,50,193.575305
-18.269888,50,194.302453
-9.920824,50,195.038081
-6.209108,50,195.770968
-15.978148,50,196.453135
-13.182142,50,197.182113
-11.470821,50,197.965817
-8.385784,50,198.679486
-12.273908,50,199.398276
-14.444245,50,200.025255
-16.423359,50,200.678107
-11.593808,50,201.307746
-10.547866,50,202.000486
-17.364648,50,202.831447
-14.349042,50,203.622369
-9.673083,50,204.466722
-13.422645,50,205.289926
-21.466388,50,206.116345
-12.041284,50,206.930076
-16.13056,50,207.765089
-13.256393,50,208.564251
-21.399645,50,209.392539
-14.142758,50,210.22334
-18.273353,50,211.045436
-12.18514,50,211.870617
-17.493726,50,212.69099
-14.290127,50,213.513415
-15.29424,50,214.323983
-10.303622,50,215.133483
-17.070506,50,215.96541
-16.004951,50,216.753112
-21.816775,50,217.580927
-7.55514,50,218.415133
-14.827452,50,219.364723
-8.542282,50,220.181967
-11.240616,50,220.948079
-12.352586,50,221.742308
-11.517735,50,222.543643
-9.491196,50,223.383017
-6.635372,50,224.227624
-14.791542,50,225.04873
-15.565408,50,225.896233
-14.476195,50,226.690942
-16.729231,50,227.482061
-9.298659,50,228.279433
-8.961208,50,229.084838
-16.278854,50,229.901774
-4.312521,50,230.689445
-17.514546,50,231.467202
-15.64425,50,232.290741
-20.569853,50,233.088462
-17.5356,50,233.906053
-9.281345,50,234.74934
-16.430699,50,235.650709
-11.608546,50,236.474157
-14.666076,50,237.282152
-15.442337,50,238.111305
-12.332668,50,238.887787
-11.981573,50,239.690557
-10.739411,50,240.500947
-19.77133,50,241.287152
-14.108534,50,242.056443
-8.718015,50,242.837999
-15.556438,50,243.629255
-17.320043,50,244.406736
-7.452608,50,245.173244
-14.725651,50,245.974262
-10.260314,50,246.765448
-11.3669,50,247.536812
-9.492715,50,248.310292
-9.102243,50,249.071319
-14.032379,50,249.843197
-21.225615,50,250.663357
-6.829638,50,251.568707
-9.905965,50,252.341416
-18.268522,50,253.136606
-7.490987,50,253.879909
-9.597591,50,254.67007
-16.863057,50,255.465366
-19.818875,50,256.241985
-15.72768,50,257.031854
-10.483233,50,257.816932
-17.59276,50,258.57521
-12.368118,50,259.399888
-11.727537,50,260.174198
-10.102203,50,260.928929
-6.667645,50,261.699396
-9.956474,50,262.498478
-8.814853,50,263.282837
-15.88714,50,264.065042
-9.533099,50,264.840538
-11.082684,50,265.641105
-10.243741,50,266.434663
-6.815511,50,267.3359
-13.383155,50,268.130977
-20.784773,50,268.901665
-14.846433,50,269.696231
-21.35157,50,270.496717
-13.664249,50,271.268979
-17.609315,50,272.05879
-9.302273,50,272.877942
-13.522375,50,273.693569
-7.36026,50,274.492346
-14.022923,50,275.29047
-13.528661,50,276.087754
-17.658265,50,276.863356
-12.639442,50,277.633203
-12.04339,50,278.443524
-6.936365,50,279.233905
-18.633708,50,280.047884
-16.829193,50,280.840624
-9.668041,50,281.625305
-13.648141,50,282.408123
-10.537033,50,283.284019
-7.760091,50,284.068948
-16.125267,50,284.857844
-13.315325,50,285.667076
-15.541176,50,286.441561
-9.287709,50,287.257723
-7.592748,50,288.063264
-21.600454,50,288.840206
-11.848601,50,289.62635
-9.02329,50,290.413834
-15.665825,50,291.201378
-15.366087,50,291.984254
-8.175113,50,292.778487
-13.039505,50,293.530784
-17.771027,50,294.322957
-9.674842,50,295.138589
-12.18014,50,295.907241
-13.49354,50,296.697026
-13.330751,50,297.490579
-11.662201,50,298.276377
-23.585788,50,299.154903
-9.017046,50,299.934144
-15.827563,50,300.731092
-15.538013,50,301.507599
-9.701273,50,302.278021
-9.075643,50,303.089622
-15.051149,50,303.894474
-12.79358,50,304.691787
-13.45942,50,305.455538
-11.722409,50,306.233552
-8.24228,50,306.990279
-20.469029,50,307.810637
-20.363698,50,308.595499
-23.883624,50,309.394459
-8.212385,50,310.191636
-13.959307,50,310.995132
-12.27228,50,311.776549
-11.199515,50,312.584662
-22.290896,50,313.391303
-17.669651,50,314.200691
-14.116354,50,315.060134
-10.665079,50,315.819166
-7.998931,50,316.626561
-8.716583,50,317.445642
-15.963781,50,318.236748
-13.117473,50,319.040853
-11.373046,50,319.860175
-9.863146,50,320.590077
-16.83468,50,321.392429
-15.675299,50,322.202597
-14.007904,50,322.979169
-7.345619,50,323.77746
-17.87321,50,324.551641
-18.784174,50,325.315025
-8.718112,50,326.076984
-8.46213,50,326.868006
-5.122175,50,327.639579
-10.893708,50,328.436185
-9.774398,50,329.235037
-13.890585,50,330.002119
-7.663265,50,330.892627
-16.919076,50,331.6505
-9.049827,50,332.388021
-13.70891,50,333.175373
-10.310376,50,333.943228
-7.829124,50,334.694499
-8.444604,50,335.495413
-9.993975,50,336.258654
-23.132493,50,337.032007
-6.815863,50,337.813963
-10.419733,50,338.599586
-20.671205,50,339.40115
-18.022912,50,340.147143
-14.983237,50,340.916945
-14.613163,50,341.717294
-31.922763,50,342.507057
-4.49351,50,343.290707
-5.498043,50,344.063189
-16.141243,50,344.834089
-13.883105,50,345.64979
-11.380851,50,346.545137
-5.298769,50,347.337898
-20.50726,50,348.110815
-12.088805,50,348.909278
-25.672981,50,349.681627
-11.782287,50,350.446415
-7.790471,50,351.222151
-16.293725,50,352.031142
-11.962289,50,352.843078
-9.047125,50,353.631146
-11.487163,50,354.438732
-9.696903,50,355.216303
-13.056625,50,355.999639
-12.50864,50,356.767726
-14.858911,50,357.557485
-15.094577,50,358.342674
-24.494931,50,359.125557
-12.354421,50,359.914974
-18.490954,50,360.677817
-13.164658,50,361.446412
-17.181929,50,362.340354
-13.48182,50,363.155947
-7.74208,50,363.968275
-15.411243,50,364.750396
-13.405108,50,365.545271
-11.844986,50,366.330665
-8.542775,50,367.10676
-11.396445,50,367.889841
-15.307724,50,368.660373
-10.286896,50,369.426332
-19.805984,50,370.210812
-9.40037,50,370.985873
-25.500585,50,371.773358
-16.445625,50,372.571279
-17.277406,50,373.3566
-16.859421,50,374.168629
-7.402221,50,374.956335
-13.300502,50,375.764045
-7.715813,50,376.556627
-16.303508,50,377.337408
-12.483644,50,378.244898
-10.74591,50,379.063117
-10.100964,50,379.858857
-12.56533,50,380.615614
-10.431903,50,381.411342
-10.003823,50,382.184067
-17.040351,50,382.983891
-19.245581,50,383.75751
-21.781247,50,384.565047
-10.422228,50,385.369493
-5.476876,50,386.166503
-17.351265,50,386.977504
-12.225883,50,387.762491
-5.744472,50,388.535754
-12.915631,50,389.353267
-18.661295,50,390.196286
-11.85158,50,390.973687
-5.576957,50,391.777721
-11.976698,50,392.563493
-14.383664,50,393.369269
-9.594257,50,394.28931
-8.42687,50,395.090738
-14.384183,50,395.855213
-9.836547,50,396.658403
-15.288597,50,397.454238
-12.290973,50,398.227936
-9.961856,50,399.027978
-15.620046,50,399.787136
-11.47458,50,400.548954
-10.37483,50,401.277283
-22.127654,50,402.085782
-11.489626,50,402.884533
-9.337863,50,403.693114
-5.468541,50,404.480337
-15.26247,50,405.264038
-10.566971,50,406.036489
-13.306677,50,406.821072
-5.396853,50,407.611253
-15.01059,50,408.399378
-16.172756,50,409.182148
-8.354966,50,410.089013
-8.889702,50,410.847008
-4.644073,50,411.637276
-12.278511,50,412.454121
-16.842279,50,413.248142
-4.872704,50,414.002378
-12.364586,50,414.783846
-13.716213,50,415.573946
-8.590834,50,416.372783
-8.094683,50,417.173347
-16.390571,50,417.943686
-9.032163,50,418.701561
-16.807864,50,419.497932
-13.289706,50,420.304615
-26.048093,50,421.090228
-18.691458,50,421.897367
-5.791145,50,422.693071
-7.229434,50,423.479445
-20.45852,50,424.266735
-13.818874,50,425.002891
-15.04969,50,425.936182
-8.835657,50,426.728856
-23.494743,50,427.522421
-11.449711,50,428.319965
-18.111698,50,429.099424
-18.485824,50,429.885989
-15.251648,50,430.690241
-7.120453,50,431.4651
-11.864359,50,432.260867
-8.118767,50,433.042049
-14.62341,50,433.787032
-18.049977,50,434.586061
-10.696579,50,435.366233
-12.51242,50,436.136172
-18.450312,50,436.935966
-11.229176,50,437.695159
-15.654971,50,438.493082
-18.732194,50,439.276687
-8.379885,50,440.080307
-12.863952,50,440.894207
-9.10096,50,441.740908
-19.336905,50,442.507985
-18.69343,50,443.317117
-15.518399,50,444.105566
-6.585205,50,444.940843
-14.400766,50,445.739582
-14.75906,50,446.545926
-15.29639,50,447.281074
-10.902999,50,448.038108
-22.082586,50,448.81868
-16.843995,50,449.518711
-13.338949,50,450.254819
-11.189276,50,451.009557
-14.980202,50,451.784501
-7.749511,50,452.532253
-8.202501,50,453.315258
-10.127469,50,454.099669
-7.19126,50,454.829309
-17.074516,50,455.558607
-20.722295,50,456.350057
-13.646718,50,457.29381
-17.313204,50,458.083077
-9.935756,50,458.875643
-15.766918,50,459.688914
-14.668045,50,460.447124
-5.688094,50,461.249132
-11.670075,50,462.032625
-9.400349,50,462.793097
-21.750627,50,463.546679
-12.044763,50,464.326
-18.613851,50,465.103405
-14.967504,50,465.847709
-16.754344,50,466.685588
-16.983499,50,467.498652
-9.484772,50,468.272762
-12.506297,50,469.059829
-15.210455,50,469.834446
-8.459899,50,470.65895
-14.567207,50,471.386635
-8.717508,50,472.150631
-12.573263,50,473.049127
-13.412136,50,473.760721
-21.220604,50,474.471644
-10.906401,50,475.180032
-9.229846,50,475.945677
-14.236853,50,476.739971
-13.86633,50,477.547981
-10.825848,50,478.329782
-19.432024,50,479.124233
-32.297456,50,479.891402
-6.047746,50,480.706347
-11.363618,50,481.493305
-13.797163,50,482.230724
-9.706588,50,483.012485
-7.469131,50,483.810353
-16.742555,50,484.552572
-9.609452,50,485.347756
-5.524114,50,486.149708
-11.74519,50,486.952178
-8.11695,50,487.72335
-15.810283,50,488.64246
-9.92539,50,489.44966
-16.751176,50,490.213048
-15.305086,50,490.974795
-11.517371,50,491.755494
-26.198732,50,492.52831
-13.695709,50,493.293088
-13.022386,50,494.066428
-6.313423,50,494.850041
-8.884016,50,495.63294
-16.481276,50,496.433251
-13.420165,50,497.223593
-10.669547,50,498.011522
-17.651605,50,498.804845
-11.42976,50,499.586171
-14.81001,50,500.377953
-16.425488,50,501.159004
-16.755441,50,501.948794
-15.488144,50,502.733487
-12.975968,50,503.456814
-14.302203,50,504.359422
-14.985545,50,505.136316
-20.867875,50,505.923741
-6.649214,50,506.736896
-12.383406,50,507.548021
-10.238892,50,508.337855
-12.815734,50,509.106092
-9.455228,50,509.897158
-14.665799,50,510.696599
-11.115381,50,511.509059
-16.534869,50,512.315551
-20.836998,50,513.109646
-13.159567,50,513.89756
-13.873503,50,514.696519
-8.439264,50,515.490639
-27.726325,50,516.278714
-16.208118,50,517.06701
-12.4996,50,517.857469
-17.504945,50,518.61812
-9.201934,50,519.361237
-17.173403,50,520.175845
-7.836,50,520.868281
-12.908719,50,521.543571
-9.259097,50,522.235486
-8.342765,50,523.023378
-12.863071,50,523.746034
-15.121718,50,524.450522
-10.667407,50,525.107737
-16.852084,50,525.774913
-13.467787,50,526.534546
-9.585087,50,527.222132
-10.376058,50,527.916856
-9.397786,50,528.630942
-8.278082,50,529.43845
-12.717036,50,530.286712
-14.073166,50,531.134926
-11.515222,50,531.946604
-13.218931,50,532.742594
-13.582146,50,533.581658
-11.202876,50,534.397122
-10.36212,50,535.356959
-21.159461,50,536.221055
-10.558955,50,537.048668
-9.676668,50,537.87399
-9.571281,50,538.679417
-11.6782,50,539.525066
-13.789871,50,540.334624
-24.872601,50,541.179034
