obs_rms_mean,obs_rms_std,reference_G_mean,reference_G_std,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_G_mean,reference_actor_G_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/G_mean,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,rollout/safety_return,rollout/safety_return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/loss_guard,train/param_noise_distance
0.0,1.0,-1.727192997932434,0.0,3.6921722888946533,1.8399224281311035,0.0002447712467983365,3.977917003794573e-05,-1.727192997932434,0.0,3.6921732425689697,1.8399230241775513,-1.1500253677368164,2.7502195835113525,0.00015488066128455102,0.00024929759092628956,6.480557355800389,3086.0,6.480557441711426,6.484000205993652,2.6290194988250732,2.656893730163574,-2.228132724761963,2.423759698867798,87.95948553085327,3086.0,1,20000,227.37740994386175,28.300142288208008,0.21771880984306335,0.49247705936431885,0.0
0.0,1.0,-2.1067492961883545,0.0,3.8052172660827637,2.280409574508667,0.0018587742233648896,0.0006157087627798319,-2.1067492961883545,0.0,3.805224895477295,2.2804272174835205,-1.5713151693344116,3.3451995849609375,0.000503121642395854,0.0005590323708020151,6.490912041544953,6162.0,6.490911960601807,6.455999851226807,2.660839080810547,2.6917834281921387,-2.2130985260009766,2.419106960296631,181.43791675567627,6162.0,2,40000,220.46108506560884,19.19532012939453,0.2608898878097534,0.6821244955062866,0.0
0.0,1.0,-5.424535751342773,0.0,5.267460346221924,3.046546697616577,0.007431455887854099,0.17683441936969757,-5.424535751342773,0.0,7.776583671569824,2.4054203033447266,-1.8518061637878418,4.0319085121154785,0.0009276106720790267,0.01580008864402771,7.15733429050012,8358.0,7.157334327697754,11.887999534606934,16.92292594909668,6.622383117675781,-11.36580753326416,117.7861328125,287.5366587638855,8358.0,3,60000,208.66904504607805,4.745153427124023,0.29612940549850464,65.1988754272461,0.0
0.0,1.0,-31.340810775756836,1.9073486328125e-06,12.240277290344238,6.678055763244629,0.01796002686023712,0.18862669169902802,-31.340810775756836,1.9073486328125e-06,15.003605842590332,5.267439365386963,-5.524423599243164,6.814826488494873,0.0012061214074492455,0.021920517086982727,9.31261038502296,8493.0,9.312610626220703,30.238000869750977,98.2377700805664,34.65982437133789,-57.588375091552734,646.5597534179688,401.5949602127075,8493.0,4,80000,199.20568713717785,-8.801024436950684,0.4194657504558563,351.4374084472656,0.0
0.0,1.0,-70.13040161132812,0.0,18.55158233642578,9.721675872802734,0.02102517895400524,0.2185642570257187,-70.13040161132812,0.0,22.6259708404541,6.806252479553223,-14.186087608337402,10.135671615600586,0.0010910035343840718,0.020069429650902748,11.61325513196481,8525.0,11.613255500793457,49.94900131225586,164.7431182861328,58.18470764160156,-121.361328125,1660.419189453125,517.5589756965637,8525.0,5,100000,193.21469570769912,-19.170686721801758,0.8400020599365234,799.6233520507812,0.0
0.0,1.0,-124.85699462890625,0.0,21.78848648071289,12.566177368164062,0.008514073677361012,0.19637559354305267,-124.85699462890625,0.0,26.65314292907715,9.931252479553223,-27.686603546142578,13.327129364013672,0.000713799730874598,0.021529395133256912,13.895461439738654,8571.0,13.895461082458496,69.72799682617188,207.16444396972656,73.65819549560547,-232.9858856201172,3015.47705078125,633.6167526245117,8571.0,6,120000,189.38893187868933,-26.3548641204834,1.2616139650344849,1910.0372314453125,0.0
0.0,1.0,-182.1864776611328,0.0,23.455177307128906,15.24386215209961,0.02173350565135479,0.1783263385295868,-182.1864776611328,0.0,29.353654861450195,13.359822273254395,-45.7136344909668,16.567747116088867,0.0006079562590457499,0.022666731849312782,16.176932855656997,8653.0,16.17693328857422,90.04399871826172,236.85067749023438,84.8682632446289,-298.27752685546875,3395.469482421875,753.2319419384003,8653.0,7,140000,185.86572369689716,-32.815494537353516,1.9319789409637451,2967.94677734375,0.0
0.0,1.0,-228.5262451171875,0.0,26.744552612304688,17.7557315826416,0.010216145776212215,0.19336964190006256,-228.5262451171875,0.0,34.073978424072266,15.556612014770508,-65.69893646240234,19.899179458618164,0.0004501743824221194,0.02137044630944729,18.292074082595192,8693.0,18.29207420349121,108.82599639892578,265.35064697265625,95.76913452148438,-335.14892578125,3554.2265625,869.5331768989563,8693.0,8,160000,184.00678001800122,-40.089900970458984,2.836061716079712,3904.5068359375,0.0
0.0,1.0,-260.33807373046875,0.0,32.3590087890625,20.12818145751953,0.017879722639918327,0.2076943814754486,-260.33807373046875,0.0,41.78782653808594,15.49327278137207,-85.60980224609375,23.160545349121094,0.00039983814349398017,0.020171036943793297,20.54550671410536,8713.0,20.545507431030273,128.69700622558594,292.72900390625,106.57301330566406,-353.1652526855469,3680.45849609375,1005.9888460636139,8713.0,9,180000,178.92842520504215,-47.39385223388672,1.9517769813537598,4335.00390625,0.0
0.0,1.0,-289.39288330078125,0.0,34.495906829833984,22.95273208618164,0.020981449633836746,0.2000415176153183,-289.39288330078125,0.0,43.4398307800293,19.541898727416992,-104.54649353027344,26.302644729614258,0.000358602061169222,0.019173869863152504,22.788617886178862,8733.0,22.788618087768555,148.5590057373047,316.51593017578125,116.29183959960938,-388.6274719238281,3890.336181640625,1113.4875082969666,8733.0,10,200000,179.61584526968946,-52.63371658325195,2.8034026622772217,4309.193359375,0.0
