# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
8.0,-1.725621,0,8,6.419873
6.0,-0.788161,0,6,6.438473
5.0,-1.553307,0,5,6.453733
4.0,-2.899418,0,4,6.465861
9.0,-0.617476,0,9,6.496157
7.0,-0.720176,0,7,6.518108
11.0,-0.167037,0,11,6.556404
4.0,-1.125037,0,4,6.569011
5.0,-3.30536,0,5,6.583748
6.0,-0.814344,0,6,6.601717
4.0,-0.012395,0,4,6.61518
6.0,-3.79204,0,6,6.633364
8.0,-7.362185,0,8,6.656709
6.0,-0.073745,0,6,6.677299
8.0,-0.086741,0,8,6.705114
6.0,-0.339673,0,6,6.726368
8.0,-3.281352,0,8,6.750373
8.0,-2.065498,0,8,6.773887
4.0,-1.8422,0,4,6.785859
10.0,-5.801647,0,10,6.815459
9.0,-2.778578,0,9,6.842255
12.0,-0.427995,0,12,6.88344
4.0,-0.322213,0,4,6.896505
11.0,-5.120538,0,11,6.929243
5.0,-2.16508,0,5,6.944134
6.0,-0.877691,0,6,6.962783
9.0,-1.591315,0,9,6.989432
5.0,-0.290527,0,5,7.00675
6.0,-5.359255,0,6,7.02512
5.0,-0.910236,0,5,7.039974
6.0,-0.2301,0,6,7.060919
5.0,-0.191407,0,5,7.078327
5.0,-5.83895,0,5,7.094022
5.0,-0.23176,0,5,7.110895
4.0,-2.074012,0,4,7.123312
14.0,-4.500967,0,14,7.164238
5.0,-4.078521,0,5,7.179244
9.0,-3.618713,0,9,7.205999
7.0,-0.093167,0,7,7.230556
6.0,-3.658788,0,6,7.249052
15.0,-1.983736,0,15,7.297456
5.0,-0.042072,0,5,7.314382
6.0,-0.198883,0,6,7.33541
5.0,-0.119892,0,5,7.353145
4.0,-1.596094,0,4,7.365954
5.0,-2.652164,0,5,7.380725
4.0,-1.566035,0,4,7.392695
5.0,-1.195936,0,5,7.407601
6.0,-6.268552,0,6,7.425322
4.0,-0.012217,0,4,7.439231
8.0,-2.724973,0,8,7.463353
6.0,-0.069844,0,6,7.483839
4.0,-2.946047,0,4,7.496511
6.0,-2.894666,0,6,7.514489
7.0,-1.35572,0,7,7.535311
5.0,-0.750681,0,5,7.550592
6.0,-0.206945,0,6,7.571277
4.0,-1.354889,0,4,7.583959
5.0,-0.640896,0,5,7.599934
