obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.1639088940674591,39.70331573486328,8.317205429077148,0.1764882355928421,0.9842832088470459,40.50954818725586,8.281310081481934,-0.022054215893149376,0.9935243129730225,20.442922592163086,0.06040462851524353,0.9958049058914185,23.469483568075116,852.0,112.64202117919922,138.41879272460938,93.96500396728516,68.34346008300781,66.73282766342163,852.0,1,20000,299.70257068789897,-37.81455993652344,17.265535354614258,1.5658245086669922
0.0,1.0,0.13433062777208762,68.5738296508789,22.880224227905273,0.4117646813392639,0.9112901091575623,70.24288940429688,23.12510871887207,0.0046152593567967415,0.9949750900268555,37.422149658203125,0.07760345190763474,0.9939747452735901,24.099457504520796,1659.0,116.03780364990234,119.34678649902344,67.30424499511719,69.70650482177734,141.25715017318726,1659.0,2,40000,283.1715063694709,-67.16020202636719,52.470340728759766,1.3626585006713867
0.0,1.0,0.11008992318755192,83.69525146484375,36.247039794921875,0.4117647111415863,0.911290168762207,85.88314819335938,35.88966751098633,0.41335493326187134,0.8969215154647827,51.12471008300781,0.10290861129760742,0.9908929467201233,25.32643581081081,2368.0,122.60488891601562,149.02220153808594,94.84487915039062,77.61060333251953,219.72163081169128,2368.0,3,60000,273.0727956931195,-85.43467712402344,78.34612274169922,1.2047219276428223
0.0,1.0,0.09022358778821578,99.44932556152344,42.959354400634766,0.4117647111415863,0.911290168762207,103.22654724121094,42.217506408691406,0.42774391174316406,0.8927307724952698,61.92646408081055,0.12358754873275757,0.9874430298805237,26.093964110929853,3065.0,126.59339141845703,150.1830596923828,111.16629791259766,82.3128890991211,299.5420870780945,3065.0,4,80000,267.07432261144316,-103.71480560302734,85.01480102539062,0.9936944246292114
0.0,1.0,0.07394224246582377,111.76652526855469,51.386234283447266,0.4117647111415863,0.911290168762207,114.98818969726562,49.8881721496582,0.40837979316711426,0.9114587903022766,71.19557189941406,0.14009609818458557,0.9842962622642517,26.852040816326532,3724.0,130.53689575195312,143.45819091796875,73.37488555908203,85.48884582519531,379.7018835544586,3724.0,5,100000,263.3645086610626,-113.82369995117188,84.40443420410156,1.2541545629501343
0.0,1.0,0.060598955937205407,115.99232482910156,50.543190002441406,0.4117647111415863,0.911290168762207,119.80677032470703,49.26987075805664,0.0239015594124794,0.9871755838394165,77.55792236328125,0.1604616940021515,0.980168342590332,27.502865001146,4363.0,133.9359893798828,166.99261474609375,76.63660430908203,86.3690185546875,460.79265117645264,4363.0,6,120000,260.42081984950767,-112.6659164428711,91.50330352783203,1.0493696928024292
0.0,1.0,0.04966353924655011,115.28675842285156,53.54142761230469,0.4117647111415863,0.911290168762207,118.88591003417969,51.760345458984375,0.11194641888141632,0.9621506333351135,81.14610290527344,0.1799328327178955,0.9758737683296204,28.31452265372168,4944.0,138.170654296875,172.57679748535156,69.23428344726562,87.1821517944336,542.7642569541931,4944.0,7,140000,257.938871630258,-109.96342468261719,70.02098846435547,0.5499943494796753
0.0,1.0,0.045863445263280886,109.86781311035156,51.17462921142578,0.11032390594482422,0.9854186177253723,111.48461151123047,50.817813873291016,0.39082127809524536,0.9109635949134827,83.339599609375,0.1913423091173172,0.9728417992591858,28.936335684572256,5529.0,141.50660705566406,151.48272705078125,101.09751892089844,87.49822235107422,624.7737429141998,5529.0,8,160000,256.09270846385874,-101.3868179321289,64.17695617675781,0.1298486739397049
0.0,1.0,0.037587132956139066,128.8942108154297,62.307029724121094,-0.06957508623600006,0.9790796637535095,136.49066162109375,62.94436264038086,-0.09102985262870789,0.9636832475662231,88.39311218261719,0.18003952503204346,0.972538948059082,30.103563660699347,5977.0,146.9620361328125,254.951171875,148.64871215820312,91.16438293457031,704.7149107456207,5977.0,9,180000,255.42243715199916,-127.72943115234375,83.2143325805664,0.7623147964477539
0.0,1.0,0.030804326970036475,145.1699676513672,74.82840728759766,0.01266546081751585,0.9725621938705444,153.38027954101562,75.1051025390625,0.11424271762371063,0.9633630514144897,95.16094207763672,0.15804485976696014,0.974276065826416,31.449197860962567,6358.0,152.67578125,232.57119750976562,50.732669830322266,93.7649917602539,785.1192092895508,6358.0,10,200000,254.7383857554303,-146.2889404296875,86.56071472167969,0.5344848036766052
