# {"t_start": 1562341552.4766877, "env_id": "InvertedPendulumBL-v2"} 
r,violation,l,t
3.0,0,3,4.59686
3.0,0,3,4.603727
3.0,0,3,4.613691
2.0,0,2,4.620914
3.0,0,3,4.627821
3.0,0,3,4.634586
7.0,0,7,4.646515
4.0,0,4,4.653999
2.0,0,2,4.658125
3.0,0,3,4.66337
7.0,0,7,4.674279
3.0,0,3,4.680953
3.0,0,3,4.692839
5.0,0,5,4.705295
3.0,0,3,4.713405
3.0,0,3,4.72031
3.0,0,3,4.726763
2.0,0,2,4.731393
3.0,0,3,4.737787
2.0,0,2,4.742401
3.0,0,3,4.749896
3.0,0,3,4.756709
6.0,0,6,4.767902
2.0,0,2,4.772018
2.0,0,2,4.775906
3.0,0,3,4.781436
3.0,0,3,4.787472
7.0,0,7,4.805702
3.0,0,3,4.811349
2.0,0,2,4.815665
8.0,0,8,4.830394
3.0,0,3,4.836624
3.0,0,3,4.842023
7.0,0,7,4.853168
9.0,0,9,4.869373
3.0,0,3,4.874991
5.0,0,5,4.884638
3.0,0,3,4.89083
7.0,0,7,4.907293
2.0,0,2,4.911897
4.0,0,4,4.923197
5.0,0,5,4.934858
3.0,0,3,4.942325
2.0,0,2,4.946894
2.0,0,2,4.951309
3.0,0,3,4.957345
2.0,0,2,4.961778
9.0,0,9,4.977602
3.0,0,3,4.983403
8.0,0,8,4.99981
5.0,0,5,5.013767
2.0,0,2,5.018961
3.0,0,3,5.025348
3.0,0,3,5.032873
5.0,0,5,5.044164
3.0,0,3,5.051321
4.0,0,4,5.058283
10.0,0,10,5.07264
2.0,0,2,5.076168
6.0,0,6,5.086309
4.0,0,4,5.092979
5.0,0,5,5.104738
6.0,0,6,5.122489
6.0,0,6,5.136319
2.0,0,2,5.141561
3.0,0,3,5.149138
3.0,0,3,5.155005
3.0,0,3,5.161769
8.0,0,8,5.180018
7.0,0,7,5.196378
26.0,0,26,5.251158
14.0,0,14,5.278484
2.0,0,2,5.285383
2.0,0,2,5.290122
2.0,0,2,5.296344
2.0,0,2,5.301096
8.0,0,8,5.316217
3.0,0,3,5.322909
3.0,0,3,5.32918
5.0,0,5,5.338038
3.0,0,3,5.345705
3.0,0,3,5.351646
3.0,0,3,5.357258
3.0,0,3,5.363343
2.0,0,2,5.368415
5.0,0,5,5.379295
2.0,0,2,5.383376
2.0,0,2,5.387372
4.0,0,4,5.398135
2.0,0,2,5.403502
3.0,0,3,5.410941
3.0,0,3,5.418406
2.0,0,2,5.422579
3.0,0,3,5.428849
3.0,0,3,5.436331
2.0,0,2,5.440942
3.0,0,3,5.447767
20.0,0,20,5.49259
3.0,0,3,5.499619
3.0,0,3,5.508521
2.0,0,2,5.515063
3.0,0,3,5.521835
3.0,0,3,5.52885
2.0,0,2,5.536004
4.0,0,4,5.545269
2.0,0,2,5.550318
3.0,0,3,5.557804
2.0,0,2,5.563775
3.0,0,3,5.571821
2.0,0,2,5.579764
7.0,0,7,5.598604
3.0,0,3,5.605476
3.0,0,3,5.613193
2.0,0,2,5.618096
3.0,0,3,5.624735
2.0,0,2,5.630906
3.0,0,3,5.639173
7.0,0,7,5.65801
3.0,0,3,5.665201
3.0,0,3,5.670848
21.0,0,21,5.715822
4.0,0,4,5.725202
2.0,0,2,5.731527
6.0,0,6,5.744982
3.0,0,3,5.751439
4.0,0,4,5.75886
3.0,0,3,5.764315
4.0,0,4,5.771689
2.0,0,2,5.777711
3.0,0,3,5.784137
21.0,0,21,5.828218
3.0,0,3,5.835239
4.0,0,4,5.843782
3.0,0,3,5.850651
2.0,0,2,5.856284
3.0,0,3,5.863699
3.0,0,3,5.870495
4.0,0,4,5.880215
3.0,0,3,5.887239
5.0,0,5,5.900628
15.0,0,15,5.932269
3.0,0,3,5.93931
8.0,0,8,5.957398
3.0,0,3,5.963851
7.0,0,7,5.979234
3.0,0,3,5.985964
2.0,0,2,5.992156
5.0,0,5,6.005389
3.0,0,3,6.012677
6.0,0,6,6.026267
7.0,0,7,6.044826
4.0,0,4,6.053919
8.0,0,8,6.071556
3.0,0,3,6.078125
12.0,0,12,6.10634
2.0,0,2,6.111592
2.0,0,2,6.118596
3.0,0,3,6.12609
5.0,0,5,6.138983
5.0,0,5,6.151752
3.0,0,3,6.160734
2.0,0,2,6.167927
3.0,0,3,6.177379
18.0,0,18,6.216892
6.0,0,6,6.2301
3.0,0,3,6.237685
3.0,0,3,6.24474
16.0,0,16,6.276625
3.0,0,3,6.284261
4.0,0,4,6.291894
7.0,0,7,6.307002
2.0,0,2,6.311878
3.0,0,3,6.31889
3.0,0,3,6.325646
2.0,0,2,6.330088
3.0,0,3,6.336129
3.0,0,3,6.342368
2.0,0,2,6.347089
3.0,0,3,6.355627
4.0,0,4,6.365301
13.0,0,13,6.396523
3.0,0,3,6.404795
3.0,0,3,6.411876
3.0,0,3,6.41952
13.0,0,13,6.447311
4.0,0,4,6.457103
2.0,0,2,6.463482
3.0,0,3,6.472384
2.0,0,2,6.477568
2.0,0,2,6.482916
4.0,0,4,6.492284
3.0,0,3,7.058951
9.0,0,9,7.075676
6.0,0,6,7.088678
2.0,0,2,7.093489
3.0,0,3,7.100874
3.0,0,3,7.108427
2.0,0,2,7.113418
2.0,0,2,7.117839
2.0,0,2,7.122688
3.0,0,3,7.131124
4.0,0,4,7.140764
3.0,0,3,7.148342
3.0,0,3,7.155664
3.0,0,3,7.163062
4.0,0,4,7.172146
5.0,0,5,7.185815
3.0,0,3,7.194385
3.0,0,3,7.203343
4.0,0,4,7.213795
2.0,0,2,7.219034
5.0,0,5,7.231497
3.0,0,3,7.238574
2.0,0,2,7.24358
67.0,0,67,7.385068
2.0,0,2,7.390109
2.0,0,2,7.395135
4.0,0,4,7.404708
2.0,0,2,7.409716
2.0,0,2,7.413573
3.0,0,3,7.420096
6.0,0,6,7.433836
3.0,0,3,7.440033
3.0,0,3,7.446444
2.0,0,2,7.450989
3.0,0,3,7.457129
3.0,0,3,7.463363
13.0,0,13,7.490487
3.0,0,3,7.497193
6.0,0,6,7.509827
4.0,0,4,7.519095
2.0,0,2,7.524756
5.0,0,5,7.53422
3.0,0,3,7.542292
9.0,0,9,7.561758
11.0,0,11,7.586994
6.0,0,6,7.599944
2.0,0,2,7.604182
4.0,0,4,7.611396
5.0,0,5,7.62248
11.0,0,11,7.644364
11.0,0,11,7.667191
3.0,0,3,7.674485
3.0,0,3,7.681678
2.0,0,2,7.686814
2.0,0,2,7.693333
3.0,0,3,7.699653
5.0,0,5,7.714062
3.0,0,3,7.721706
2.0,0,2,7.727079
3.0,0,3,7.734599
3.0,0,3,7.741745
3.0,0,3,7.748823
23.0,0,23,7.79423
3.0,0,3,7.801217
12.0,0,12,7.826434
3.0,0,3,7.83426
3.0,0,3,7.840638
3.0,0,3,7.846464
3.0,0,3,7.854238
2.0,0,2,7.859705
2.0,0,2,7.864583
2.0,0,2,7.869523
3.0,0,3,7.877635
3.0,0,3,7.886072
4.0,0,4,7.894204
2.0,0,2,7.901448
17.0,0,17,7.939204
2.0,0,2,7.945738
3.0,0,3,7.953882
3.0,0,3,7.962078
3.0,0,3,7.969592
2.0,0,2,7.975786
2.0,0,2,7.981681
2.0,0,2,7.986753
2.0,0,2,7.991423
17.0,0,17,8.028178
3.0,0,3,8.036285
14.0,0,14,8.066178
3.0,0,3,8.072994
8.0,0,8,8.089724
3.0,0,3,8.098247
12.0,0,12,8.125269
19.0,0,19,8.166641
8.0,0,8,8.180953
3.0,0,3,8.191487
3.0,0,3,8.198648
3.0,0,3,8.205491
3.0,0,3,8.212108
8.0,0,8,8.226936
2.0,0,2,8.232655
2.0,0,2,8.237613
2.0,0,2,8.242491
2.0,0,2,8.246959
7.0,0,7,8.26
3.0,0,3,8.265334
4.0,0,4,8.271909
3.0,0,3,8.279608
3.0,0,3,8.287051
3.0,0,3,8.294309
3.0,0,3,8.300909
3.0,0,3,8.307189
2.0,0,2,8.311627
3.0,0,3,8.317997
3.0,0,3,8.325985
4.0,0,4,8.334321
5.0,0,5,8.347462
3.0,0,3,8.353704
8.0,0,8,8.370479
2.0,0,2,8.375183
2.0,0,2,8.380073
3.0,0,3,8.387357
3.0,0,3,8.39583
3.0,0,3,8.403777
6.0,0,6,8.419042
2.0,0,2,8.424935
3.0,0,3,8.432994
6.0,0,6,8.44626
8.0,0,8,8.464447
10.0,0,10,8.487136
19.0,0,19,8.526062
3.0,0,3,8.532813
3.0,0,3,8.539011
5.0,0,5,8.549596
18.0,0,18,8.587802
2.0,0,2,8.59265
2.0,0,2,8.597486
40.0,0,40,8.68488
3.0,0,3,8.691274
3.0,0,3,8.697227
6.0,0,6,8.709732
3.0,0,3,8.716039
3.0,0,3,8.722645
5.0,0,5,8.732421
10.0,0,10,8.755889
3.0,0,3,8.763241
3.0,0,3,8.770669
2.0,0,2,8.776933
5.0,0,5,8.789801
5.0,0,5,8.804383
3.0,0,3,8.812759
3.0,0,3,8.820306
20.0,0,20,8.864227
3.0,0,3,8.872243
2.0,0,2,8.877161
2.0,0,2,8.881639
4.0,0,4,8.890364
9.0,0,9,8.91584
2.0,0,2,8.921711
5.0,0,5,8.932872
2.0,0,2,8.938083
3.0,0,3,8.946761
2.0,0,2,8.953168
17.0,0,17,8.992651
2.0,0,2,8.999029
2.0,0,2,9.004763
2.0,0,2,9.010042
3.0,0,3,9.017619
2.0,0,2,9.023804
2.0,0,2,9.029104
3.0,0,3,9.036136
16.0,0,16,9.072004
5.0,0,5,9.083101
9.0,0,9,9.101375
6.0,0,6,9.115692
62.0,2,62,9.241992
2.0,0,2,9.247104
3.0,0,3,9.254964
3.0,0,3,9.262473
3.0,0,3,9.269235
6.0,0,6,9.281634
13.0,0,13,9.313637
5.0,0,5,9.325729
3.0,0,3,9.876132
3.0,0,3,9.882872
3.0,0,3,9.889268
11.0,0,11,9.910976
3.0,0,3,9.918312
2.0,0,2,9.925035
2.0,0,2,9.931846
3.0,0,3,9.938333
3.0,0,3,9.944835
3.0,0,3,9.951908
6.0,0,6,9.964845
3.0,0,3,9.975957
3.0,0,3,9.983622
4.0,0,4,10.006125
2.0,0,2,10.010446
3.0,0,3,10.01697
5.0,0,5,10.029399
7.0,0,7,10.043581
3.0,0,3,10.051985
3.0,0,3,10.059155
3.0,0,3,10.066034
3.0,0,3,10.073563
5.0,0,5,10.08453
10.0,0,10,10.110217
2.0,0,2,10.118446
2.0,0,2,10.123618
2.0,0,2,10.128752
2.0,0,2,10.135004
3.0,0,3,10.144949
3.0,0,3,10.153465
3.0,0,3,10.163014
3.0,0,3,10.191122
4.0,0,4,10.201281
4.0,0,4,10.212295
3.0,0,3,10.222219
4.0,0,4,10.232571
3.0,0,3,10.256883
13.0,0,13,10.305234
3.0,0,3,10.315252
25.0,0,25,10.393331
3.0,0,3,10.401224
2.0,0,2,10.406976
2.0,0,2,10.423836
3.0,0,3,10.433163
2.0,0,2,10.440055
4.0,0,4,10.452938
3.0,0,3,10.460952
2.0,0,2,10.466567
3.0,0,3,10.487188
2.0,0,2,10.493541
2.0,0,2,10.500162
7.0,0,7,10.519794
3.0,0,3,10.527286
2.0,0,2,10.531665
3.0,0,3,10.544561
3.0,0,3,10.550074
3.0,0,3,10.555649
5.0,0,5,10.56501
2.0,0,2,10.57181
3.0,0,3,10.575998
3.0,0,3,10.580159
5.0,0,5,10.589913
17.0,0,17,10.617064
2.0,0,2,10.620837
3.0,0,3,10.625782
4.0,0,4,10.631572
2.0,0,2,10.635222
11.0,0,11,10.651814
3.0,0,3,10.656828
3.0,0,3,10.662034
3.0,0,3,10.668493
3.0,0,3,10.674217
4.0,0,4,10.681368
3.0,0,3,10.687912
2.0,0,2,10.692604
2.0,0,2,10.696741
4.0,0,4,10.703013
10.0,0,10,10.718808
2.0,0,2,10.725284
19.0,0,19,10.76015
3.0,0,3,10.764578
2.0,0,2,10.767753
6.0,0,6,10.777047
2.0,0,2,10.782365
3.0,0,3,10.787618
3.0,0,3,10.7926
2.0,0,2,10.796201
6.0,0,6,10.808072
3.0,0,3,10.813987
2.0,0,2,10.818568
7.0,0,7,10.829417
15.0,0,15,10.856594
3.0,0,3,10.863355
14.0,0,14,10.886779
7.0,0,7,10.899398
3.0,0,3,10.907371
5.0,0,5,10.918304
3.0,0,3,10.924821
8.0,0,8,10.938284
15.0,0,15,10.96794
2.0,0,2,10.972668
2.0,0,2,10.978266
3.0,0,3,10.985109
3.0,0,3,10.990849
9.0,0,9,11.003853
3.0,0,3,11.008872
2.0,0,2,11.012085
5.0,0,5,11.019483
9.0,0,9,11.035286
2.0,0,2,11.039978
3.0,0,3,11.046149
2.0,0,2,11.052474
16.0,0,16,11.080955
3.0,0,3,11.085624
3.0,0,3,11.091064
9.0,0,9,11.105805
9.0,0,9,11.117979
4.0,0,4,11.123639
2.0,0,2,11.126975
3.0,0,3,11.131658
9.0,0,9,11.152227
2.0,0,2,11.157593
3.0,0,3,11.164218
3.0,0,3,11.170641
3.0,0,3,11.177023
3.0,0,3,11.182744
3.0,0,3,11.1881
2.0,0,2,11.192029
2.0,0,2,11.197333
3.0,0,3,11.204131
2.0,0,2,11.208373
18.0,0,18,11.237553
2.0,0,2,11.241587
3.0,0,3,11.248141
3.0,0,3,11.258178
3.0,0,3,11.264844
2.0,0,2,11.270072
5.0,0,5,11.280282
4.0,0,4,11.289778
3.0,0,3,11.297456
2.0,0,2,11.30107
5.0,0,5,11.307883
3.0,0,3,11.312612
6.0,0,6,11.325115
4.0,0,4,11.33168
6.0,0,6,11.344661
3.0,0,3,11.354477
3.0,0,3,11.360772
3.0,0,3,11.366472
6.0,0,6,11.377091
4.0,0,4,11.386612
6.0,0,6,11.398749
6.0,0,6,11.410509
3.0,0,3,11.416079
11.0,0,11,11.435707
3.0,0,3,11.440911
2.0,0,2,11.445256
6.0,0,6,11.461154
3.0,0,3,11.468615
6.0,0,6,11.479695
3.0,0,3,11.486433
19.0,0,19,11.516225
3.0,0,3,11.522689
3.0,0,3,11.530883
3.0,0,3,11.537966
8.0,0,8,11.555823
3.0,0,3,11.562765
3.0,0,3,11.568897
3.0,0,3,11.576244
2.0,0,2,11.579859
11.0,0,11,11.598547
2.0,0,2,11.602617
3.0,0,3,11.608454
2.0,0,2,11.612431
4.0,0,4,11.619235
3.0,0,3,11.624387
5.0,0,5,11.634347
4.0,0,4,11.644296
10.0,0,10,11.664928
3.0,0,3,11.671824
3.0,0,3,11.678356
4.0,0,4,11.685157
4.0,0,4,11.691819
2.0,0,2,11.695426
3.0,0,3,11.702665
4.0,0,4,11.70991
3.0,0,3,11.715958
3.0,0,3,11.721876
6.0,0,6,11.732481
2.0,0,2,11.736189
3.0,0,3,11.741197
3.0,0,3,11.746107
22.0,0,22,11.788966
3.0,0,3,11.794464
3.0,0,3,11.799505
3.0,0,3,11.803928
11.0,0,11,11.823931
4.0,0,4,11.830374
2.0,0,2,11.835922
2.0,0,2,11.84074
8.0,0,8,11.856794
3.0,0,3,11.862238
2.0,0,2,11.865784
5.0,0,5,11.873725
2.0,0,2,11.879205
6.0,0,6,11.889767
17.0,0,17,11.917047
3.0,0,3,11.922128
2.0,0,2,11.925962
3.0,0,3,11.930976
3.0,0,3,11.935902
2.0,0,2,11.939533
2.0,0,2,11.943367
2.0,0,2,11.94777
3.0,0,3,11.95393
3.0,0,3,11.963556
3.0,0,3,11.969587
20.0,0,20,12.003135
3.0,0,3,12.008406
24.0,0,24,12.530998
12.0,0,12,12.552417
2.0,0,2,12.556373
3.0,0,3,12.562057
8.0,0,8,12.577145
3.0,0,3,12.585613
2.0,0,2,12.589993
2.0,0,2,12.594743
2.0,0,2,12.599398
9.0,0,9,12.616203
4.0,0,4,12.624197
2.0,0,2,12.628799
5.0,0,5,12.637994
2.0,0,2,12.642492
10.0,0,10,12.662679
2.0,0,2,12.670204
5.0,0,5,12.681046
3.0,0,3,12.687958
4.0,0,4,12.69689
4.0,0,4,12.705796
8.0,0,8,12.721844
3.0,0,3,12.728087
2.0,0,2,12.73258
4.0,0,4,12.742036
3.0,0,3,12.749492
3.0,0,3,12.75938
2.0,0,2,12.76535
2.0,0,2,12.771449
2.0,0,2,12.777349
3.0,0,3,12.785563
12.0,0,12,12.810935
3.0,0,3,12.81812
4.0,0,4,12.826635
21.0,0,21,12.882242
12.0,0,12,12.909279
3.0,0,3,12.924827
3.0,0,3,12.943625
3.0,0,3,12.951422
2.0,0,2,12.956237
4.0,0,4,12.96866
5.0,0,5,12.977801
8.0,0,8,12.991683
3.0,0,3,12.997535
7.0,0,7,13.029925
3.0,0,3,13.041861
3.0,0,3,13.049028
2.0,0,2,13.053153
3.0,0,3,13.063126
3.0,0,3,13.068914
5.0,0,5,13.078129
2.0,0,2,13.089979
3.0,0,3,13.099665
3.0,0,3,13.113203
3.0,0,3,13.131414
5.0,0,5,13.140416
4.0,0,4,13.147589
3.0,0,3,13.152645
