# {"t_start": 1562341552.4766877, "env_id": "InvertedPendulumBL-v2"} 
r,violation,l,t
3.0,0,3,15.6789
3.0,0,3,15.686706
3.0,0,3,15.697895
3.0,0,3,15.705035
14.0,0,14,15.730181
4.0,0,4,15.740223
5.0,0,5,15.750429
14.0,0,14,15.773912
3.0,0,3,15.779339
3.0,0,3,15.784616
3.0,0,3,15.794945
2.0,0,2,15.802447
3.0,0,3,15.810041
10.0,0,10,15.828713
3.0,0,3,15.835522
5.0,0,5,15.8448
5.0,0,5,15.854414
3.0,0,3,15.860735
2.0,0,2,15.864859
5.0,0,5,15.875604
11.0,0,11,15.895045
5.0,0,5,15.906232
3.0,0,3,15.912715
47.0,1,47,16.022338
3.0,0,3,16.030854
4.0,0,4,16.045054
2.0,0,2,16.051512
7.0,0,7,16.069281
11.0,0,11,16.096521
7.0,0,7,16.112776
3.0,0,3,16.120656
11.0,0,11,16.146834
11.0,0,11,16.171119
5.0,0,5,16.181143
2.0,0,2,16.186318
2.0,0,2,16.191577
3.0,0,3,16.198979
9.0,0,9,16.218076
3.0,0,3,16.226076
15.0,0,15,16.257894
5.0,0,5,16.270955
6.0,0,6,16.284669
3.0,0,3,16.292198
3.0,0,3,16.300083
4.0,0,4,16.310556
2.0,0,2,16.316252
7.0,0,7,16.335523
4.0,0,4,16.347499
2.0,0,2,16.353807
8.0,0,8,16.373829
2.0,0,2,16.379241
3.0,0,3,16.388834
5.0,0,5,16.404148
6.0,0,6,16.416785
5.0,0,5,16.427207
3.0,0,3,16.433806
2.0,0,2,16.438417
3.0,0,3,16.444729
9.0,0,9,16.462494
4.0,0,4,16.473413
3.0,0,3,16.479548
7.0,0,7,16.512698
24.0,0,24,16.593723
2.0,0,2,16.601892
3.0,0,3,16.612736
4.0,0,4,16.62686
2.0,0,2,16.643428
5.0,0,5,16.656889
7.0,0,7,16.684013
3.0,0,3,16.68995
7.0,0,7,16.702241
2.0,0,2,16.706074
11.0,0,11,16.72297
3.0,0,3,16.729593
2.0,0,2,16.734078
3.0,0,3,16.74011
3.0,0,3,16.746743
6.0,0,6,16.758473
30.0,0,30,16.820767
8.0,0,8,16.838492
3.0,0,3,16.845388
15.0,0,15,16.8755
2.0,0,2,16.880836
19.0,0,19,16.919127
12.0,0,12,16.941768
2.0,0,2,16.946538
2.0,0,2,16.950709
3.0,0,3,16.956615
2.0,0,2,16.962488
8.0,0,8,16.976844
2.0,0,2,16.981885
3.0,0,3,16.98862
3.0,0,3,16.994229
7.0,0,7,17.011815
8.0,0,8,17.029028
15.0,0,15,17.060237
3.0,0,3,17.066472
3.0,0,3,17.072818
3.0,0,3,17.081345
2.0,0,2,17.087033
4.0,0,4,17.09468
3.0,0,3,17.103459
10.0,0,10,17.124481
2.0,0,2,17.130072
5.0,0,5,17.139898
3.0,0,3,17.149899
9.0,0,9,17.174121
3.0,0,3,17.182816
3.0,0,3,17.189364
12.0,0,12,17.214635
3.0,0,3,17.222313
4.0,0,4,17.231451
3.0,0,3,17.237566
4.0,0,4,17.248611
2.0,0,2,17.255007
4.0,0,4,17.264601
9.0,0,9,17.284147
9.0,0,9,17.304939
2.0,0,2,17.310004
2.0,0,2,17.314881
6.0,0,6,17.328003
8.0,0,8,17.343863
6.0,0,6,17.353684
2.0,0,2,17.357722
6.0,0,6,17.369605
5.0,0,5,17.381527
4.0,0,4,17.388716
4.0,0,4,17.893585
4.0,0,4,17.90334
3.0,0,3,17.910523
15.0,0,15,17.940764
6.0,0,6,17.951998
8.0,0,8,17.966552
3.0,0,3,17.972661
6.0,0,6,17.986332
3.0,0,3,17.993643
3.0,0,3,18.001963
6.0,0,6,18.017485
3.0,0,3,18.026859
5.0,0,5,18.037861
12.0,0,12,18.068156
2.0,0,2,18.07397
3.0,0,3,18.081239
3.0,0,3,18.089155
2.0,0,2,18.094971
2.0,0,2,18.101247
7.0,0,7,18.117165
2.0,0,2,18.123806
6.0,0,6,18.137563
3.0,0,3,18.145233
3.0,0,3,18.1523
2.0,0,2,18.157162
2.0,0,2,18.161227
3.0,0,3,18.167793
4.0,0,4,18.176565
9.0,0,9,18.193051
3.0,0,3,18.200849
4.0,0,4,18.20976
2.0,0,2,18.214545
15.0,0,15,18.25078
2.0,0,2,18.256346
2.0,0,2,18.260958
2.0,0,2,18.265036
2.0,0,2,18.270521
4.0,0,4,18.280756
4.0,0,4,18.291229
6.0,0,6,18.30538
2.0,0,2,18.309897
28.0,0,28,18.371036
4.0,0,4,18.381835
5.0,0,5,18.392373
3.0,0,3,18.3989
3.0,0,3,18.405917
3.0,0,3,18.413028
3.0,0,3,18.419866
18.0,0,18,18.459325
3.0,0,3,18.469249
4.0,0,4,18.479362
5.0,0,5,18.49134
4.0,0,4,18.500457
9.0,0,9,18.520108
4.0,0,4,18.529092
8.0,0,8,18.546502
2.0,0,2,18.550933
5.0,0,5,18.559353
3.0,0,3,18.566105
7.0,0,7,18.578036
11.0,0,11,18.600262
6.0,0,6,18.613174
2.0,0,2,18.617519
5.0,0,5,18.626498
2.0,0,2,18.630842
3.0,0,3,18.636515
3.0,0,3,18.642895
4.0,0,4,18.650769
12.0,0,12,18.677392
4.0,0,4,18.685556
2.0,0,2,18.690196
2.0,0,2,18.694695
3.0,0,3,18.70274
3.0,0,3,18.710573
4.0,0,4,18.722063
3.0,0,3,18.730938
4.0,0,4,18.740189
3.0,0,3,18.746851
5.0,0,5,18.759271
3.0,0,3,18.766111
3.0,0,3,18.773382
21.0,0,21,18.814213
3.0,0,3,18.821418
6.0,0,6,18.835731
2.0,0,2,18.841438
3.0,0,3,18.848691
24.0,0,24,18.895514
5.0,0,5,18.907068
3.0,0,3,18.914069
3.0,0,3,18.921303
8.0,0,8,18.937309
3.0,0,3,18.945317
11.0,0,11,18.967418
2.0,0,2,18.973301
15.0,0,15,19.008898
4.0,0,4,19.018474
3.0,0,3,19.026379
2.0,0,2,19.031038
20.0,0,20,19.073888
3.0,0,3,19.082506
2.0,0,2,19.087594
7.0,0,7,19.101727
14.0,0,14,19.134371
2.0,0,2,19.139859
3.0,0,3,19.147664
3.0,0,3,19.157343
9.0,0,9,19.179592
5.0,0,5,19.193283
3.0,0,3,19.20208
3.0,0,3,19.209838
3.0,0,3,19.217611
3.0,0,3,19.225723
3.0,0,3,19.234602
3.0,0,3,19.242503
5.0,0,5,19.254664
14.0,0,14,19.293591
2.0,0,2,19.30269
3.0,0,3,19.314137
3.0,0,3,19.324735
4.0,0,4,19.339323
2.0,0,2,19.346766
3.0,0,3,19.353705
7.0,0,7,19.373773
3.0,0,3,19.381771
4.0,0,4,19.390225
41.0,0,41,19.477408
3.0,0,3,19.485498
3.0,0,3,19.491291
2.0,0,2,19.495725
4.0,0,4,19.505271
6.0,0,6,19.518512
2.0,0,2,19.523266
41.0,0,41,19.601246
3.0,0,3,19.607984
13.0,0,13,19.631546
10.0,0,10,19.652598
3.0,0,3,19.659802
2.0,0,2,19.665
11.0,0,11,19.686928
3.0,0,3,19.694673
2.0,0,2,19.700623
3.0,0,3,19.708234
3.0,0,3,19.714587
2.0,0,2,19.719602
3.0,0,3,19.725629
2.0,0,2,19.732136
5.0,0,5,19.743419
4.0,0,4,19.752379
2.0,0,2,19.756745
2.0,0,2,19.761371
8.0,0,8,19.777898
5.0,0,5,19.788449
8.0,0,8,19.804615
5.0,0,5,19.815361
3.0,0,3,19.821639
11.0,0,11,19.843896
20.0,0,20,19.885237
3.0,0,3,19.892792
4.0,0,4,19.903611
2.0,0,2,19.909572
3.0,0,3,19.916547
3.0,0,3,19.924982
9.0,0,9,19.947078
4.0,0,4,19.956633
2.0,0,2,19.961464
2.0,0,2,19.966614
2.0,0,2,19.973809
6.0,0,6,19.989393
2.0,0,2,19.99375
2.0,0,2,19.998913
3.0,0,3,20.006188
6.0,0,6,20.021132
3.0,0,3,20.028893
2.0,0,2,20.034718
5.0,0,5,20.046655
2.0,0,2,20.051628
4.0,0,4,20.06131
2.0,0,2,20.067694
4.0,0,4,20.077886
3.0,0,3,20.086566
2.0,0,2,20.092725
2.0,0,2,20.098461
4.0,0,4,20.107487
2.0,0,2,20.11443
9.0,0,9,20.133802
3.0,0,3,20.141063
8.0,0,8,20.156931
4.0,0,4,20.167019
3.0,0,3,20.175044
3.0,0,3,20.182108
4.0,0,4,20.818947
3.0,0,3,20.833723
7.0,0,7,20.863853
2.0,0,2,20.885904
2.0,0,2,20.894306
3.0,0,3,20.915679
33.0,0,33,21.053411
39.0,0,39,21.206572
2.0,0,2,21.21514
11.0,0,11,21.250627
18.0,0,18,21.283934
3.0,0,3,21.288145
2.0,0,2,21.291185
22.0,0,22,21.327262
6.0,0,6,21.335506
9.0,0,9,21.347546
3.0,0,3,21.354219
3.0,0,3,21.361944
2.0,0,2,21.367038
6.0,0,6,21.376953
6.0,0,6,21.386572
15.0,0,15,21.412203
3.0,0,3,21.41903
2.0,0,2,21.422524
2.0,0,2,21.426348
3.0,0,3,21.431317
4.0,0,4,21.437874
6.0,0,6,21.446742
2.0,0,2,21.451775
3.0,0,3,21.457131
2.0,0,2,21.461134
3.0,0,3,21.466823
3.0,0,3,21.473106
9.0,0,9,21.489909
8.0,0,8,21.503355
2.0,0,2,21.509046
6.0,0,6,21.520498
3.0,0,3,21.52665
2.0,0,2,21.533279
3.0,0,3,21.54062
2.0,0,2,21.544441
30.0,0,30,21.601027
5.0,0,5,21.60994
5.0,0,5,21.621016
7.0,0,7,21.634934
4.0,0,4,21.642828
2.0,0,2,21.646796
2.0,0,2,21.651589
4.0,0,4,21.659608
3.0,0,3,21.665489
6.0,0,6,21.679409
3.0,0,3,21.685515
2.0,0,2,21.689522
3.0,0,3,21.694797
5.0,0,5,21.705419
3.0,0,3,21.711757
2.0,0,2,21.715465
6.0,0,6,21.725518
6.0,0,6,21.734587
3.0,0,3,21.739542
3.0,0,3,21.748673
2.0,0,2,21.753685
2.0,0,2,21.758699
2.0,0,2,21.763288
3.0,0,3,21.769992
3.0,0,3,21.777633
3.0,0,3,21.784491
4.0,0,4,21.792271
3.0,0,3,21.797483
4.0,0,4,21.804149
17.0,0,17,21.831931
2.0,0,2,21.83557
15.0,0,15,21.870827
2.0,0,2,21.874741
4.0,0,4,21.881095
6.0,0,6,21.892611
2.0,0,2,21.898008
2.0,0,2,21.902085
3.0,0,3,21.907056
4.0,0,4,21.9134
3.0,0,3,21.918217
2.0,0,2,21.921767
2.0,0,2,21.92538
2.0,0,2,21.92901
4.0,0,4,21.935567
7.0,0,7,21.950628
37.0,0,37,22.013817
6.0,0,6,22.025216
2.0,0,2,22.029833
2.0,0,2,22.034243
3.0,0,3,22.03975
3.0,0,3,22.045127
10.0,0,10,22.06468
3.0,0,3,22.071283
2.0,0,2,22.075996
3.0,0,3,22.082482
2.0,0,2,22.088185
3.0,0,3,22.094213
6.0,0,6,22.103044
3.0,0,3,22.108415
3.0,0,3,22.113893
3.0,0,3,22.118935
6.0,0,6,22.131895
18.0,0,18,22.173951
11.0,0,11,22.195159
2.0,0,2,22.200596
3.0,0,3,22.207641
3.0,0,3,22.215401
5.0,0,5,22.226457
8.0,0,8,22.247027
3.0,0,3,22.253824
45.0,0,45,22.344433
2.0,0,2,22.349919
2.0,0,2,22.361447
41.0,5,41,22.457797
3.0,0,3,22.466978
2.0,0,2,22.473566
3.0,0,3,22.483145
2.0,0,2,22.489775
2.0,0,2,22.496436
5.0,0,5,22.509134
3.0,0,3,22.51475
3.0,0,3,22.523463
2.0,0,2,22.52768
6.0,0,6,22.539891
3.0,0,3,22.54737
2.0,0,2,22.551415
2.0,0,2,22.555667
7.0,0,7,22.567634
7.0,0,7,22.580162
3.0,0,3,22.586783
17.0,0,17,22.617396
3.0,0,3,22.62672
3.0,0,3,22.633413
4.0,0,4,22.642568
2.0,0,2,22.647037
4.0,0,4,22.654253
2.0,0,2,22.658791
2.0,0,2,22.663263
3.0,0,3,22.669241
3.0,0,3,22.674923
2.0,0,2,22.67903
12.0,0,12,22.701035
2.0,0,2,22.705638
3.0,0,3,22.713938
4.0,0,4,22.726088
3.0,0,3,22.733798
6.0,0,6,22.74651
2.0,0,2,22.750961
13.0,0,13,22.777797
17.0,0,17,22.806824
2.0,0,2,22.811261
3.0,0,3,22.817558
7.0,0,7,22.838061
3.0,0,3,22.845557
7.0,0,7,22.861773
3.0,0,3,22.868749
2.0,0,2,22.87329
4.0,0,4,22.881132
2.0,0,2,22.885526
3.0,0,3,22.891373
5.0,0,5,22.901244
3.0,0,3,22.907043
2.0,0,2,22.91097
4.0,0,4,22.918564
2.0,0,2,22.923344
3.0,0,3,22.930078
2.0,0,2,22.937577
4.0,0,4,22.946352
2.0,0,2,22.952555
3.0,0,3,22.96264
4.0,0,4,22.972925
3.0,0,3,22.979504
3.0,0,3,22.985104
18.0,0,18,23.012338
2.0,0,2,23.016904
3.0,0,3,23.024469
2.0,0,2,23.028329
9.0,0,9,23.049894
3.0,0,3,23.057528
4.0,0,4,23.065356
3.0,0,3,23.073127
6.0,0,6,23.576199
3.0,0,3,23.582668
2.0,0,2,23.586816
2.0,0,2,23.59296
6.0,0,6,23.607407
3.0,0,3,23.614295
3.0,0,3,23.620773
3.0,0,3,23.626379
2.0,0,2,23.630079
3.0,0,3,23.63518
3.0,0,3,23.640576
2.0,0,2,23.645319
2.0,0,2,23.650372
2.0,0,2,23.654423
3.0,0,3,23.660412
2.0,0,2,23.667092
24.0,0,24,23.72321
3.0,0,3,23.730133
2.0,0,2,23.734484
5.0,0,5,23.742468
3.0,0,3,23.74787
7.0,0,7,23.759575
4.0,0,4,23.767556
3.0,0,3,23.773672
2.0,0,2,23.779368
2.0,0,2,23.786776
3.0,0,3,23.794959
2.0,0,2,23.799925
3.0,0,3,23.806581
6.0,0,6,23.817955
2.0,0,2,23.822159
3.0,0,3,23.827926
8.0,0,8,23.844454
2.0,0,2,23.850049
2.0,0,2,23.855164
4.0,0,4,23.86438
3.0,0,3,23.870956
3.0,0,3,23.877129
2.0,0,2,23.881016
2.0,0,2,23.884994
3.0,0,3,23.893407
3.0,0,3,23.90171
2.0,0,2,23.906797
2.0,0,2,23.911718
4.0,0,4,23.919986
2.0,0,2,23.925746
10.0,0,10,23.944258
3.0,0,3,23.949697
6.0,0,6,23.961034
3.0,0,3,23.967215
2.0,0,2,23.972989
2.0,0,2,23.977438
3.0,0,3,23.983581
2.0,0,2,23.987772
3.0,0,3,23.994185
2.0,0,2,24.002716
12.0,0,12,24.031653
3.0,0,3,24.038685
3.0,0,3,24.045603
2.0,0,2,24.049786
3.0,0,3,24.055738
2.0,0,2,24.060164
3.0,0,3,24.066115
2.0,0,2,24.070338
4.0,0,4,24.078096
2.0,0,2,24.082453
3.0,0,3,24.088795
4.0,0,4,24.098546
2.0,0,2,24.105995
4.0,0,4,24.115935
2.0,0,2,24.122426
7.0,0,7,24.138872
3.0,0,3,24.145299
6.0,0,6,24.159369
3.0,0,3,24.16535
2.0,0,2,24.170073
3.0,0,3,24.176684
4.0,0,4,24.184076
3.0,0,3,24.190077
3.0,0,3,24.1964
7.0,0,7,24.215124
3.0,0,3,24.221046
2.0,0,2,24.225438
5.0,0,5,24.23415
3.0,0,3,24.24219
2.0,0,2,24.247007
3.0,0,3,24.252396
3.0,0,3,24.258011
3.0,0,3,24.263271
3.0,0,3,24.269987
2.0,0,2,24.276493
4.0,0,4,24.284091
3.0,0,3,24.290318
8.0,0,8,24.304194
9.0,0,9,24.324462
3.0,0,3,24.332533
31.0,0,31,24.390987
3.0,0,3,24.397058
3.0,0,3,24.402753
10.0,0,10,24.426241
2.0,0,2,24.432617
4.0,0,4,24.442014
3.0,0,3,24.44901
2.0,0,2,24.453012
10.0,0,10,24.469846
3.0,0,3,24.476716
3.0,0,3,24.482651
3.0,0,3,24.488246
2.0,0,2,24.492661
13.0,0,13,24.520785
14.0,0,14,24.552836
11.0,0,11,24.574043
8.0,0,8,24.589116
3.0,0,3,24.595339
2.0,0,2,24.599749
3.0,0,3,24.606822
4.0,0,4,24.614269
3.0,0,3,24.621319
3.0,0,3,24.632524
3.0,0,3,24.638128
3.0,0,3,24.644553
3.0,0,3,24.650803
8.0,0,8,24.667936
2.0,0,2,24.674079
3.0,0,3,24.682287
2.0,0,2,24.687069
12.0,0,12,24.706085
2.0,0,2,24.709868
3.0,0,3,24.715269
3.0,0,3,24.720998
2.0,0,2,24.727743
8.0,0,8,24.749059
4.0,0,4,24.757785
3.0,0,3,24.763895
3.0,0,3,24.770082
3.0,0,3,24.775826
2.0,0,2,24.780775
2.0,0,2,24.785371
16.0,0,16,24.815863
2.0,0,2,24.819926
3.0,0,3,24.825178
3.0,0,3,24.83082
6.0,0,6,24.845498
2.0,0,2,24.849839
3.0,0,3,24.856195
7.0,0,7,24.873415
5.0,0,5,24.884008
2.0,0,2,24.888689
3.0,0,3,24.894097
3.0,0,3,24.899142
2.0,0,2,24.903131
3.0,0,3,24.912478
20.0,0,20,24.948604
4.0,0,4,24.959874
3.0,0,3,24.967983
6.0,0,6,24.980172
3.0,0,3,24.987077
3.0,0,3,24.992112
3.0,0,3,24.996991
3.0,0,3,25.001978
3.0,0,3,25.006707
37.0,0,37,25.072609
3.0,0,3,25.080031
5.0,0,5,25.091172
4.0,0,4,25.099356
3.0,0,3,25.104553
11.0,0,11,25.121029
4.0,0,4,25.12775
3.0,0,3,25.133025
4.0,0,4,25.139884
3.0,0,3,25.147676
3.0,0,3,25.157835
5.0,0,5,25.169642
2.0,0,2,25.175152
3.0,0,3,25.183501
2.0,0,2,25.189
2.0,0,2,25.193748
13.0,0,13,25.219823
4.0,0,4,25.227617
3.0,0,3,25.233629
2.0,0,2,25.237637
3.0,0,3,25.243448
12.0,0,12,25.271081
4.0,0,4,25.280745
4.0,0,4,25.289885
3.0,0,3,25.296223
3.0,0,3,25.302026
5.0,0,5,25.311835
2.0,0,2,25.315772
2.0,0,2,25.319493
3.0,0,3,25.324754
2.0,0,2,25.328292
5.0,0,5,25.336229
3.0,0,3,25.345561
2.0,0,2,25.351922
3.0,0,3,25.360671
8.0,0,8,25.381089
7.0,0,7,25.397095
4.0,0,4,25.40408
8.0,0,8,25.419431
2.0,0,2,25.424916
5.0,0,5,25.434929
3.0,0,3,25.4405
3.0,0,3,25.44681
4.0,0,4,25.454473
3.0,0,3,25.460598
7.0,0,7,25.477575
19.0,0,19,25.516557
2.0,0,2,25.52229
4.0,0,4,25.531373
3.0,0,3,25.537621
3.0,0,3,25.543494
6.0,0,6,25.554901
2.0,0,2,25.559256
39.0,0,39,25.640175
3.0,0,3,25.646796
3.0,0,3,25.653578
3.0,0,3,25.663212
3.0,0,3,25.670784
12.0,0,12,25.699144
2.0,0,2,25.704255
3.0,0,3,25.710227
2.0,0,2,25.714602
4.0,0,4,26.233316
3.0,0,3,26.240303
3.0,0,3,26.245183
3.0,0,3,26.252545
4.0,0,4,26.26075
6.0,0,6,26.273231
2.0,0,2,26.278436
15.0,0,15,26.305707
3.0,0,3,26.313339
4.0,0,4,26.322475
5.0,0,5,26.331372
2.0,0,2,26.339693
3.0,0,3,26.348152
3.0,0,3,26.355528
3.0,0,3,26.361804
3.0,0,3,26.367927
9.0,0,9,26.386179
3.0,0,3,26.394457
12.0,0,12,26.415667
3.0,0,3,26.421258
3.0,0,3,26.428314
4.0,0,4,26.438357
3.0,0,3,26.44984
2.0,0,2,26.454199
3.0,0,3,26.460345
50.0,2,50,26.562848
3.0,0,3,26.5717
3.0,0,3,26.580917
18.0,0,18,26.611988
5.0,0,5,26.621662
6.0,0,6,26.633193
4.0,0,4,26.642414
3.0,0,3,26.648811
2.0,0,2,26.657499
2.0,0,2,26.664707
2.0,0,2,26.67028
10.0,0,10,26.691785
3.0,0,3,26.699433
40.0,3,40,26.77471
3.0,0,3,26.782468
3.0,0,3,26.789923
3.0,0,3,26.798802
9.0,0,9,26.820241
3.0,0,3,26.827676
3.0,0,3,26.836976
2.0,0,2,26.842781
2.0,0,2,26.847866
4.0,0,4,26.856376
2.0,0,2,26.862314
6.0,0,6,26.877905
2.0,0,2,26.884513
30.0,0,30,26.951198
3.0,0,3,26.958614
12.0,0,12,26.988088
6.0,0,6,26.999801
4.0,0,4,27.007868
2.0,0,2,27.012414
3.0,0,3,27.018783
2.0,0,2,27.022986
7.0,0,7,27.036474
3.0,0,3,27.042433
125.0,2,125,27.286328
5.0,0,5,27.294194
66.0,2,66,27.41393
4.0,0,4,27.423413
2.0,0,2,27.428835
3.0,0,3,27.436629
8.0,0,8,27.455117
4.0,0,4,27.464603
3.0,0,3,27.472545
3.0,0,3,27.479043
3.0,0,3,27.485365
3.0,0,3,27.491551
3.0,0,3,27.499026
2.0,0,2,27.503902
3.0,0,3,27.510013
2.0,0,2,27.514907
3.0,0,3,27.521916
3.0,0,3,27.528862
7.0,0,7,27.544911
3.0,0,3,27.551762
9.0,0,9,27.570574
19.0,0,19,27.615931
2.0,0,2,27.621915
68.0,0,68,27.770789
2.0,0,2,27.775755
3.0,0,3,27.781738
3.0,0,3,27.787455
3.0,0,3,27.795547
2.0,0,2,27.801368
3.0,0,3,27.810054
9.0,0,9,27.829608
4.0,0,4,27.839172
3.0,0,3,27.848289
3.0,0,3,27.855618
3.0,0,3,27.862771
2.0,0,2,27.867844
2.0,0,2,27.873277
3.0,0,3,27.880749
4.0,0,4,27.891183
3.0,0,3,27.898644
3.0,0,3,27.907385
2.0,0,2,27.913802
7.0,0,7,27.928925
3.0,0,3,27.936383
2.0,0,2,27.943089
3.0,0,3,27.952349
6.0,0,6,27.966172
23.0,0,23,28.016486
2.0,0,2,28.021449
2.0,0,2,28.026379
3.0,0,3,28.033987
17.0,0,17,28.074077
4.0,0,4,28.085188
2.0,0,2,28.090941
3.0,0,3,28.099206
2.0,0,2,28.105038
20.0,0,20,28.152308
3.0,0,3,28.159543
50.0,3,50,28.273119
5.0,0,5,28.28641
5.0,0,5,28.299604
3.0,0,3,28.306396
9.0,0,9,28.324436
2.0,0,2,28.329112
2.0,0,2,28.334156
4.0,0,4,28.343066
3.0,0,3,28.350176
3.0,0,3,28.357756
7.0,0,7,28.37384
3.0,0,3,28.381371
3.0,0,3,28.388997
3.0,0,3,28.397362
2.0,0,2,28.402227
3.0,0,3,28.408318
3.0,0,3,28.415565
6.0,0,6,28.430801
12.0,0,12,29.019608
3.0,0,3,29.026943
3.0,0,3,29.034187
6.0,0,6,29.050848
287.0,5,287,29.664204
3.0,0,3,29.671272
8.0,0,8,29.69103
3.0,0,3,29.698778
3.0,0,3,29.707706
3.0,0,3,29.714798
2.0,0,2,29.720118
11.0,0,11,29.747781
2.0,0,2,29.753455
10.0,0,10,29.774534
3.0,0,3,29.783181
3.0,0,3,29.790227
8.0,0,8,29.808956
49.0,0,49,29.914725
27.0,0,27,29.966951
5.0,0,5,29.97924
4.0,0,4,29.990037
3.0,0,3,29.997738
2.0,0,2,30.003145
3.0,0,3,30.009889
6.0,0,6,30.022006
2.0,0,2,30.028348
5.0,0,5,30.041683
3.0,0,3,30.051538
3.0,0,3,30.060582
3.0,0,3,30.069183
2.0,0,2,30.076874
2.0,0,2,30.082828
2.0,0,2,30.088331
2.0,0,2,30.093938
3.0,0,3,30.101664
2.0,0,2,30.108138
2.0,0,2,30.114061
16.0,0,16,30.14908
3.0,0,3,30.156725
45.0,0,45,30.256721
22.0,0,22,30.312242
7.0,0,7,30.331414
29.0,0,29,30.400944
51.0,0,51,30.514497
3.0,0,3,30.522036
3.0,0,3,30.529583
2.0,0,2,30.535403
3.0,0,3,30.542464
8.0,0,8,30.5586
2.0,0,2,30.564485
7.0,0,7,30.58189
3.0,0,3,30.589252
5.0,0,5,30.601273
5.0,0,5,30.614817
2.0,0,2,30.620616
2.0,0,2,30.625516
3.0,0,3,30.632352
25.0,0,25,30.687444
3.0,0,3,30.694783
3.0,0,3,30.701812
2.0,0,2,30.708375
5.0,0,5,30.721149
25.0,0,25,30.772109
2.0,0,2,30.778874
6.0,0,6,30.80145
3.0,0,3,30.813533
4.0,0,4,30.826332
4.0,0,4,30.843756
4.0,0,4,30.862051
6.0,0,6,30.88325
3.0,0,3,30.894533
3.0,0,3,30.904938
5.0,0,5,30.916722
3.0,0,3,30.923841
11.0,0,11,30.947703
3.0,0,3,30.954695
4.0,0,4,30.969459
3.0,0,3,30.981426
3.0,0,3,30.997594
4.0,0,4,31.007775
7.0,0,7,31.028746
2.0,0,2,31.033841
7.0,0,7,31.051194
2.0,0,2,31.059935
2.0,0,2,31.06628
5.0,0,5,31.085343
5.0,0,5,31.110892
10.0,0,10,31.137425
4.0,0,4,31.148854
6.0,0,6,31.170694
3.0,0,3,31.179849
5.0,0,5,31.193596
13.0,0,13,31.251206
2.0,0,2,31.256966
7.0,0,7,31.281098
7.0,0,7,31.306343
27.0,0,27,31.357291
2.0,0,2,31.36213
2.0,0,2,31.365933
7.0,0,7,31.37728
3.0,0,3,31.382226
5.0,0,5,31.39377
3.0,0,3,31.401258
3.0,0,3,31.409429
5.0,0,5,31.418905
3.0,0,3,31.968899
15.0,0,15,31.996098
3.0,0,3,32.002637
7.0,0,7,32.015137
3.0,0,3,32.020533
2.0,0,2,32.024925
4.0,0,4,32.037126
2.0,0,2,32.041337
12.0,0,12,32.062537
6.0,0,6,32.073466
3.0,0,3,32.078289
3.0,0,3,32.08349
3.0,0,3,32.089328
3.0,0,3,32.094061
18.0,0,18,32.127206
3.0,0,3,32.136379
4.0,0,4,32.14387
6.0,0,6,32.154528
17.0,0,17,32.187862
3.0,0,3,32.193868
8.0,0,8,32.209263
3.0,0,3,32.21501
3.0,0,3,32.220021
9.0,0,9,32.237996
5.0,0,5,32.247787
2.0,0,2,32.252604
4.0,0,4,32.261128
40.0,0,40,32.330124
2.0,0,2,32.334087
3.0,0,3,32.342216
4.0,0,4,32.351602
28.0,0,28,32.398658
4.0,0,4,32.405791
3.0,0,3,32.410887
3.0,0,3,32.4162
2.0,0,2,32.42044
3.0,0,3,32.4291
3.0,0,3,32.438559
5.0,0,5,32.44846
2.0,0,2,32.453015
3.0,0,3,32.460744
2.0,0,2,32.465559
2.0,0,2,32.469715
7.0,0,7,32.484358
2.0,0,2,32.488872
3.0,0,3,32.494663
2.0,0,2,32.498549
4.0,0,4,32.508582
3.0,0,3,32.515407
6.0,0,6,32.526037
27.0,0,27,32.578135
2.0,0,2,32.582376
5.0,0,5,32.591047
13.0,0,13,32.611742
3.0,0,3,32.6171
7.0,0,7,32.628787
3.0,0,3,32.634302
2.0,0,2,32.638305
2.0,0,2,32.642027
2.0,0,2,32.64816
3.0,0,3,32.654758
3.0,0,3,32.662206
3.0,0,3,32.669396
2.0,0,2,32.675408
2.0,0,2,32.680699
3.0,0,3,32.686767
3.0,0,3,32.692795
4.0,0,4,32.698651
4.0,0,4,32.703844
12.0,0,12,32.720044
10.0,0,10,32.747919
2.0,0,2,32.752235
3.0,0,3,32.758507
2.0,0,2,32.762311
2.0,0,2,32.766116
2.0,0,2,32.772158
8.0,0,8,32.788425
2.0,0,2,32.792406
4.0,0,4,32.798488
8.0,0,8,32.809991
3.0,0,3,32.815391
5.0,0,5,32.823351
3.0,0,3,32.828271
4.0,0,4,32.834845
3.0,0,3,32.839877
3.0,0,3,32.84745
4.0,0,4,32.85785
3.0,0,3,32.863904
2.0,0,2,32.868883
3.0,0,3,32.875332
3.0,0,3,32.881677
2.0,0,2,32.884974
7.0,0,7,32.898804
17.0,0,17,32.924783
6.0,0,6,32.933833
19.0,0,19,32.97135
3.0,0,3,32.978985
3.0,0,3,32.987072
2.0,0,2,32.992679
3.0,0,3,32.997881
2.0,0,2,33.001505
6.0,0,6,33.013031
3.0,0,3,33.019703
10.0,0,10,33.039991
4.0,0,4,33.048642
3.0,0,3,33.054173
5.0,0,5,33.061746
41.0,0,41,33.133805
3.0,0,3,33.139574
