obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.1639088940674591,7.1143293380737305,3.0264973640441895,-0.14053253829479218,0.7659249901771545,8.808574676513672,1.903794527053833,-0.18687419593334198,0.6730667352676392,4.19128942489624,0.06347667425870895,0.7577894330024719,6.791779891304348,2944.0,6.7917799949646,10.279999732971191,16.919267654418945,21.912616729736328,51.51461982727051,2944.0,1,20000,388.2393011354908,-8.559749603271484,1.3378386497497559,1.0932691097259521
0.0,1.0,0.13433062777208762,14.707636833190918,7.23960018157959,-0.0798255130648613,0.7055383920669556,19.164073944091797,4.431046962738037,0.2552320063114166,0.6141118407249451,9.141581535339355,0.04465343803167343,0.6845456957817078,11.01603982300885,3616.0,11.016039848327637,23.510000228881836,103.92655181884766,56.97031784057617,101.23888206481934,3616.0,2,40000,395.10511361029796,-18.931167602539062,3.980450391769409,0.7382174730300903
0.0,1.0,0.11008992318755192,24.56850814819336,12.742955207824707,-0.08886581659317017,0.7603800296783447,32.302886962890625,7.238275051116943,0.36331790685653687,0.6670229434967041,14.655440330505371,0.03171830624341965,0.6435038447380066,15.363076923076923,3900.0,15.363077163696289,73.19000244140625,179.65634155273438,77.53177642822266,151.90637636184692,3900.0,3,60000,394.98012813548826,-31.710264205932617,7.820744037628174,0.5084618926048279
0.0,1.0,0.09022358778821578,33.85161209106445,18.93907356262207,-0.1491447240114212,0.7647972106933594,44.74106979370117,12.280901908874512,0.028227271512150764,0.7651172280311584,20.435903549194336,0.025931954383850098,0.6313865780830383,19.37794510565946,4117.0,19.377944946289062,112.79000091552734,211.34698486328125,88.34058380126953,207.54483723640442,4117.0,4,80000,385.4588775382344,-43.704471588134766,11.518847465515137,0.8005802631378174
0.0,1.0,0.07394224246582377,43.46048355102539,23.358558654785156,-0.19330903887748718,0.7693167328834534,57.05979537963867,14.418583869934082,-0.17729072272777557,0.8160228729248047,25.996353149414062,0.022517645731568336,0.6165214776992798,23.429178470254957,4236.0,23.42917823791504,170.4499969482422,297.1129455566406,102.24417114257812,262.7950224876404,4236.0,5,100000,380.5247110595603,-53.34794998168945,14.0825834274292,0.4901145100593567
0.0,1.0,0.060598955937205407,49.73005294799805,28.1647891998291,-0.24553927779197693,0.7413009405136108,64.64305877685547,17.970745086669922,-0.08936168998479843,0.7517350912094116,31.42270851135254,0.019871868193149567,0.6120854616165161,27.74199535962877,4310.0,27.741994857788086,239.8699951171875,354.9598083496094,117.42900848388672,318.5509250164032,4310.0,6,120000,376.70585949113416,-61.17438888549805,12.128113746643066,0.5457758903503418
0.0,1.0,0.04966353924655011,55.39263153076172,32.33596420288086,-0.3272854685783386,0.7018193602561951,71.96709442138672,22.075578689575195,-0.33571502566337585,0.7772960066795349,36.484432220458984,0.017698870971798897,0.5958021283149719,32.18265470439383,4347.0,32.182655334472656,373.7699890136719,431.6435241699219,133.41128540039062,372.7476875782013,4347.0,7,140000,375.5891844952853,-70.6784896850586,12.040762901306152,0.45370155572891235
0.0,1.0,0.040701478966889394,60.556026458740234,36.462013244628906,-0.12252621352672577,0.7830174565315247,79.7347640991211,23.90182113647461,-0.15805593132972717,0.792660117149353,42.027137756347656,0.015529267489910126,0.581200361251831,36.61721611721612,4368.0,36.617218017578125,516.4000244140625,465.8371887207031,148.2638397216797,423.844135761261,4368.0,8,160000,377.49726019595875,-79.9265365600586,19.784666061401367,0.4018153250217438
0.0,1.0,0.034027141129503384,65.92264556884766,38.17853546142578,-0.030419593676924706,0.8052915334701538,86.5481185913086,23.99266815185547,-0.04422741010785103,0.8366448879241943,47.58910369873047,0.013781711459159851,0.5740216374397278,40.84457611668186,4388.0,40.84457778930664,684.3499755859375,440.7155456542969,160.9239501953125,478.53991532325745,4388.0,9,180000,376.1441715439946,-88.86495971679688,21.673250198364258,0.17084287106990814
0.0,1.0,0.029602352743226958,71.65052795410156,42.01985549926758,-0.16454778611660004,0.8144809603691101,94.93778991699219,26.40729331970215,-0.09236997365951538,0.8538397550582886,52.67156982421875,0.012594555504620075,0.5787891745567322,45.153287981859414,4410.0,45.153289794921875,795.5800170898438,374.5099792480469,172.4042510986328,534.6066513061523,4410.0,10,200000,374.10683071630234,-96.45941162109375,25.185569763183594,0.33392685651779175
0.0,1.0,0.025245515830755405,77.3647232055664,42.6294059753418,-0.31267714500427246,0.7934247255325317,99.98336029052734,26.493547439575195,-0.3211316764354706,0.794099748134613,56.7652473449707,0.012493208050727844,0.5765591263771057,49.31076233183857,4460.0,49.310760498046875,679.8200073242188,409.9287414550781,180.9601593017578,590.4320363998413,4460.0,11,220000,372.6085077318124,-98.69990539550781,19.670730590820312,0.31850799918174744
0.0,1.0,0.026798623766663407,76.32910919189453,45.9757080078125,-0.34433186054229736,0.7610437870025635,98.73011779785156,30.893814086914062,-0.29726460576057434,0.7695682048797607,59.580081939697266,0.012051405385136604,0.5763689875602722,53.312222222222225,4500.0,53.31222152709961,486.7900085449219,429.31591796875,189.9076690673828,646.5868077278137,4500.0,12,240000,371.1798588087341,-100.79756164550781,23.657495498657227,0.17798812687397003
0.0,1.0,0.024748079434129402,81.27155303955078,48.97224807739258,-0.4517987072467804,0.7325394749641418,106.60305786132812,33.44828796386719,-0.37761712074279785,0.7790840864181519,62.89152526855469,0.011123592965304852,0.570401668548584,57.501106194690266,4520.0,57.50110626220703,563.7999877929688,445.9864501953125,199.63304138183594,702.6083247661591,4520.0,13,260000,370.04970028861067,-106.40526580810547,14.427389144897461,0.0561160109937191
0.0,1.0,0.023313810312614227,89.92110443115234,51.900840759277344,-0.46814414858818054,0.7116172909736633,118.14250183105469,32.935028076171875,-0.3426405191421509,0.7697878479957581,66.49724578857422,0.010333437472581863,0.562671959400177,61.65756441312486,4541.0,61.65756607055664,676.9400024414062,431.4954833984375,208.72056579589844,758.6631717681885,4541.0,14,280000,369.07024147147445,-115.72095489501953,19.41768455505371,0.329639732837677
0.0,1.0,0.02240411346542305,98.82787322998047,54.591392517089844,-0.375347375869751,0.7731520533561707,126.57533264160156,34.64982986450195,-0.3801114559173584,0.7980383634567261,70.14610290527344,0.009649388492107391,0.5577198266983032,65.7721990791493,4561.0,65.77220153808594,799.6699829101562,377.3352355957031,217.29531860351562,814.672922372818,4561.0,15,300000,368.24594479735424,-121.9012222290039,22.2563533782959,0.22843720018863678
0.0,1.0,0.020689822899908242,102.6689224243164,57.41834259033203,0.10338833928108215,0.8297086954116821,131.57571411132812,35.97919464111328,-0.0231098011136055,0.8869597911834717,74.1294174194336,0.009044750593602657,0.5632027387619019,69.85090591573892,4581.0,69.85090637207031,926.6300048828125,248.83323669433594,225.3994598388672,870.8488118648529,4581.0,16,320000,367.45758349804214,-127.13720703125,19.0314884185791,0.20344296097755432
