obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.1639088940674591,37.11326599121094,9.942109107971191,0.6470561027526855,0.7624260187149048,37.516746520996094,9.804039001464844,-0.04874175414443016,0.9968045949935913,20.44171905517578,0.09732720255851746,0.9927636384963989,23.959232613908874,834.0,116.0163803100586,133.55726623535156,75.34917449951172,67.25867462158203,77.57085728645325,834.0,1,20000,257.8287864751076,-36.984737396240234,20.531326293945312,1.2116602659225464
0.0,1.0,0.13433062777208762,62.55826950073242,25.77215576171875,0.6470580101013184,0.762438178062439,64.43434143066406,26.247392654418945,0.4494481384754181,0.8896166086196899,37.477718353271484,0.1574477106332779,0.9842730164527893,26.02734375,1536.0,126.35784912109375,148.523193359375,80.22698211669922,76.88278198242188,155.68969130516052,1536.0,2,40000,256.9213135736634,-66.6695327758789,44.40672302246094,1.1193690299987793
0.0,1.0,0.11008992318755192,84.27890014648438,38.913997650146484,0.6470500826835632,0.7624345421791077,88.52298736572266,39.15961837768555,0.2987256944179535,0.9481349587440491,52.69342041015625,0.19792751967906952,0.9758756160736084,27.415904936014627,2188.0,133.7309112548828,155.2346649169922,92.45978546142578,81.53180694580078,237.96339058876038,2188.0,3,60000,252.1396247193746,-92.29212951660156,76.01184844970703,1.0359164476394653
0.0,1.0,0.09022358778821578,107.92276000976562,54.099021911621094,0.6268942356109619,0.745341420173645,112.20758819580078,54.04405975341797,0.4230283498764038,0.8940433263778687,65.66617584228516,0.23143084347248077,0.9671205878257751,28.97283592901123,2761.0,141.9246368408203,172.96719360351562,86.5655746459961,85.32128143310547,321.4533140659332,2761.0,4,80000,248.8697316201606,-111.4371566772461,92.40806579589844,0.9891691207885742
0.0,1.0,0.07394224246582377,131.8120574951172,64.61146545410156,0.20622307062149048,0.9651087522506714,138.81655883789062,64.04854583740234,0.1169113889336586,0.9795244336128235,76.86271667480469,0.24340465664863586,0.962365984916687,31.210049937578027,3204.0,154.37960815429688,244.73826599121094,75.90131378173828,90.09402465820312,403.4132876396179,3204.0,5,100000,247.88474515825374,-131.83702087402344,92.8116683959961,0.7257810235023499
0.0,1.0,0.060598955937205407,145.69053649902344,81.27982330322266,0.1612166166305542,0.9594951272010803,154.13601684570312,80.6490249633789,0.40807411074638367,0.8909459710121155,89.24798583984375,0.22270779311656952,0.9649350047111511,33.698229839842654,3559.0,166.78472900390625,273.3212890625,89.7825927734375,97.82856750488281,485.87161779403687,3559.0,6,120000,246.9788223992712,-145.75765991210938,124.70901489257812,0.7087472677230835
0.0,1.0,0.04966353924655011,158.609619140625,87.37894439697266,0.13774827122688293,0.9627556204795837,167.39773559570312,86.47584533691406,-0.09438176453113556,0.9647674560546875,100.34784698486328,0.20574526488780975,0.966280996799469,35.7455938697318,3915.0,176.86903381347656,276.5211181640625,83.81175994873047,102.72322082519531,567.1469602584839,3915.0,7,140000,246.84959950449766,-164.5255889892578,135.50950622558594,0.6425362229347229
0.0,1.0,0.040701478966889394,167.88040161132812,97.51288604736328,0.19246572256088257,0.9532527327537537,177.8665313720703,96.62007904052734,0.11764141917228699,0.9656347632408142,111.38208770751953,0.19152365624904633,0.9668136835098267,37.99667458432304,4210.0,187.82421875,339.3404235839844,109.42522430419922,109.82586669921875,650.1266222000122,4210.0,8,160000,246.1059038907898,-177.72413635253906,142.32228088378906,0.591926097869873
0.0,1.0,0.03335667202186392,180.00059509277344,103.2554931640625,0.23473329842090607,0.9421198964118958,192.85394287109375,103.07470703125,0.1967518925666809,0.9587427377700806,122.81964111328125,0.19321411848068237,0.9647969007492065,40.11210162692222,4487.0,197.59848022460938,353.6668701171875,77.24996948242188,114.85821533203125,732.6584091186523,4487.0,9,180000,245.6806579433519,-188.4957275390625,152.46078491210938,0.4956337809562683
0.0,1.0,0.02733727610437334,187.107177734375,117.36094665527344,0.1618671864271164,0.9643362164497375,202.1121368408203,119.57748413085938,0.11998357623815536,0.9623033404350281,133.148681640625,0.18599849939346313,0.9644526839256287,41.662083333333335,4800.0,204.7846221923828,290.4892883300781,53.805274963378906,116.55659484863281,814.757416009903,4800.0,10,200000,245.4718374696808,-207.92628479003906,181.4452362060547,0.486452579498291
