obs_rms_mean,obs_rms_std,reference_G_mean,reference_G_std,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_G_mean,reference_actor_G_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/G_mean,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,rollout/safety_return,rollout/safety_return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/loss_guard,train/param_noise_distance
0.0,1.0,-5.001087665557861,3.374023914337158,-1.4204092025756836,0.39074668288230896,-0.1351829171180725,0.38654863834381104,-4.854007720947266,3.3151984214782715,-1.3795535564422607,0.42002350091934204,-2.6379921436309814,-0.8826004862785339,0.008838027715682983,0.14569857716560364,50.0,20.0,-12.44157886505127,-12.44157886505127,3.475024938583374,3.475024938583374,-37.94527816772461,17.31296730041504,33.69244980812073,20.0,1,1000,29.68024010408928,1.4429824352264404,0.027008960023522377,0.7887342572212219,0.0
0.0,1.0,-16.733949661254883,11.788816452026367,-1.9311131238937378,0.482820600271225,-0.014213618822395802,0.20704074203968048,-16.3002872467041,11.718146324157715,-1.9066238403320312,0.4842555522918701,-6.3119401931762695,-1.1682937145233154,0.02305019460618496,0.1635233759880066,50.0,40.0,-12.17349910736084,-12.17349910736084,6.804305553436279,6.804305553436279,-36.973777770996094,16.701000213623047,74.06381058692932,40.0,2,2000,27.003741559483807,1.7971323728561401,0.05181906372308731,8.253746032714844,0.0
0.0,1.0,-25.657272338867188,7.079024314880371,-1.8051023483276367,0.6074338555335999,0.009575597941875458,0.3320370316505432,-25.837892532348633,7.424528121948242,-1.752967357635498,0.6250133514404297,-14.794912338256836,-1.4384205341339111,-0.008166711777448654,0.17081256210803986,50.0,60.0,-12.18225383758545,-12.18225383758545,5.861790657043457,5.861790657043457,-34.68047332763672,15.533211708068848,118.02801132202148,60.0,3,3000,25.417695057277175,1.7669867277145386,0.05446869879961014,13.42695426940918,0.0
0.0,1.0,-29.836654663085938,19.03118324279785,-1.839037299156189,0.5755823254585266,0.03458728641271591,0.13008253276348114,-30.3863468170166,19.577163696289062,-1.800182819366455,0.5963909029960632,-17.381980895996094,-1.5479570627212524,-0.011800655163824558,0.16935735940933228,50.0,80.0,-12.227426528930664,-12.227426528930664,5.417972087860107,5.417972087860107,-33.818450927734375,16.550649642944336,160.252094745636,80.0,4,4000,24.960672160629766,1.8356438875198364,0.0629909411072731,30.117687225341797,0.0
0.0,1.0,-29.76607894897461,5.716715335845947,-1.7743998765945435,0.589185893535614,0.03691703453660011,0.170321986079216,-29.692296981811523,5.395068168640137,-1.7335233688354492,0.5900392532348633,-19.164438247680664,-1.5820165872573853,-0.005681076552718878,0.17028595507144928,50.0,100.0,-11.901558876037598,-11.901558876037598,4.998127460479736,4.998127460479736,-35.881046295166016,15.508193016052246,200.72500443458557,100.0,5,5000,24.90970177873108,1.7247707843780518,0.06037696823477745,20.746387481689453,0.0
0.0,1.0,-30.730337142944336,5.163359642028809,-1.7464288473129272,0.5360559821128845,0.04024764150381088,0.15142889320850372,-30.84307098388672,5.396350383758545,-1.7102948427200317,0.5401231646537781,-20.79187774658203,-1.582537055015564,0.0008447621949017048,0.167231485247612,50.0,120.0,-11.778336524963379,-11.778336524963379,4.607483386993408,4.607483386993408,-37.28687286376953,14.694058418273926,235.8759937286377,120.0,6,6000,25.437094742683602,1.7043120861053467,0.05540167912840843,24.018943786621094,0.0
0.0,1.0,-29.632247924804688,6.915896415710449,-1.6957098245620728,0.5622034668922424,0.04862226918339729,0.12298453599214554,-29.279335021972656,6.661830425262451,-1.6565901041030884,0.5713675618171692,-21.798242568969727,-1.5781456232070923,0.007041404955089092,0.16263748705387115,50.0,140.0,-11.520286560058594,-11.520286560058594,4.336752891540527,4.336752891540527,-38.34544372558594,14.058052062988281,270.812224149704,140.0,7,7000,25.848168493791572,1.6893301010131836,0.050402961671352386,21.737197875976562,0.0
0.0,1.0,-30.43494415283203,8.000455856323242,-1.6373910903930664,0.5521999001502991,0.05497964471578598,0.16235323250293732,-30.57404136657715,8.23102855682373,-1.592495083808899,0.5536854863166809,-22.581031799316406,-1.5547908544540405,0.00936999823898077,0.1593261957168579,50.0,160.0,-11.236276626586914,-11.236276626586914,4.239007949829102,4.239007949829102,-39.495792388916016,13.579444885253906,307.64393877983093,160.0,8,8000,26.004087815704686,1.6486461162567139,0.048303570598363876,20.7869815826416,0.0
0.0,1.0,-32.36232376098633,8.830586433410645,-1.6766315698623657,0.580337405204773,0.07156318426132202,0.1717168241739273,-32.518768310546875,8.878364562988281,-1.6341497898101807,0.5840338468551636,-23.437236785888672,-1.5349955558776855,0.010413426905870438,0.15827076137065887,50.0,180.0,-11.031006813049316,-11.031006813049316,4.108899116516113,4.108899116516113,-40.27132034301758,13.025322914123535,345.153550863266,180.0,9,9000,26.075351035763752,1.6192606687545776,0.04719974100589752,20.817232131958008,0.0
0.0,1.0,-35.844173431396484,9.451882362365723,-1.655523419380188,0.5993110537528992,0.05534769222140312,0.22821445763111115,-36.109336853027344,9.586220741271973,-1.6056506633758545,0.6046201586723328,-24.437166213989258,-1.5182443857192993,0.010930860415101051,0.15588918328285217,50.0,200.0,-10.868935585021973,-10.868935585021973,3.9992408752441406,3.9992408752441406,-40.75240707397461,12.490592002868652,384.9195568561554,200.0,10,10000,25.979454205121108,1.610733985900879,0.046824101358652115,22.16046714782715,0.0
